hour_ending,hvac,lighting,total,other
1.0,199.050536481,830.838891327,2381.55536224,1351.66593443
2.0,200.58082548,775.397459861,2313.57572549,1337.59744014
3.0,206.555384083,777.580771911,2315.45308646,1331.31693047
4.0,208.819438002,802.534167488,2336.84136789,1325.4877624
5.0,227.230033528,866.083550013,2487.52462581,1394.21104227
6.0,225.456755117,906.759574105,2533.88026786,1401.66393864
7.0,335.790310421,1342.81948933,2768.70163049,1090.09183074
8.0,366.997938492,1876.96759287,3032.90524429,788.939712922
9.0,300.84892749,1924.98863056,2944.72540418,718.887846129
10.0,367.083989636,2240.04158134,3457.25824446,850.132673482
11.0,372.20944416,2432.55980397,3683.30670398,878.537455847
12.0,378.430034553,2534.78593329,3853.0697024,939.853734559
13.0,346.425939322,2447.71874373,3737.62081481,943.476131763
14.0,345.658960734,2442.3726566,3721.46149234,933.429875009
15.0,347.722732234,2473.02861614,3789.41828451,968.666936136
16.0,361.946324967,2554.77737947,3922.64817102,1005.92446659
17.0,365.728959828,2560.58836407,3911.42412161,985.106797717
18.0,347.63708008,2379.41402974,4094.54230931,1367.49119949
19.0,365.29339382,2310.9104214,4285.51989812,1609.31608289
20.0,354.903747725,2102.90822879,4075.74371515,1617.93173864
21.0,316.613483005,1835.20124795,3544.87324091,1393.05850996
22.0,295.876353478,1369.70056366,3027.16705805,1361.59014091
23.0,239.036245083,1089.7278462,2661.87625559,1333.11216432
24.0,244.930141761,906.810198764,2505.84273753,1354.10239701
25.0,361.836458733,866.601135589,2384.9569633,1156.51936897
26.0,362.276992225,794.733477049,2265.47028296,1108.45981368
27.0,361.776374709,813.788965833,2288.70796181,1113.14262127
28.0,364.916458074,868.232741926,2344.87137312,1111.72217312
29.0,363.631061196,1039.04814617,2532.62899877,1129.94979141
30.0,343.115107251,1233.08210088,2800.93865532,1224.74144719
31.0,384.285464079,1713.10961171,3068.47466123,971.079585442
32.0,505.094003413,2363.9287716,3633.74865065,764.725875635
33.0,543.286208925,2859.20409257,4249.57300493,847.082703436
34.0,605.810828774,3165.11279667,4753.69175845,982.768133003
35.0,637.596816075,3359.35810403,4992.23463671,995.279716609
36.0,653.528047383,3479.33251612,5192.88631725,1060.02575375
37.0,643.871986017,3423.5629719,5128.38087115,1060.94591323
38.0,649.810292084,3443.50905832,5145.69284357,1052.37349317
39.0,683.208462425,3573.08706043,5359.06021723,1102.76469437
40.0,695.012266264,3625.63677716,5404.18706016,1083.53801673
41.0,690.390913639,3461.71520009,5111.57406192,959.467948188
42.0,649.732644824,3103.92486345,4883.30564338,1129.64813511
43.0,639.3761003,2815.40274529,4712.44962669,1257.6707811
44.0,647.16312153,2482.76290316,4487.58065065,1357.65462596
45.0,640.481365558,2356.66023395,4270.01163365,1272.87003413
46.0,703.875281709,1977.48599651,3989.79219166,1308.43091345
47.0,600.762283893,1457.61589726,3284.32356976,1225.94538861
48.0,395.830564069,1017.19714049,2632.98358665,1219.95588209
49.0,323.347475723,888.522813234,2432.13040418,1220.26011522
50.0,322.958404808,827.525491687,2344.11153013,1193.62763363
51.0,326.355362675,826.671235037,2302.40755882,1149.3809611
52.0,327.444409491,865.135502934,2311.37688208,1118.79696965
53.0,320.604271027,1017.10251848,2458.91883101,1121.21204151
54.0,312.074992827,1214.92408942,2734.62405117,1207.62496892
55.0,353.485148188,1696.99851906,3018.53590439,968.052237143
56.0,459.236016845,2332.33549283,3557.49496089,765.923451219
57.0,517.535562267,2833.52384173,4185.24429881,834.184894812
58.0,621.209261061,3190.83670055,4774.33346951,962.287507895
59.0,651.927047995,3424.70061399,5082.46939706,1005.84173508
60.0,669.220686197,3489.87897302,5221.2897269,1062.19006768
61.0,664.617464586,3466.48449474,5191.00353053,1059.90157121
62.0,689.74721972,3480.58393888,5209.86398602,1039.53282742
63.0,698.567231177,3595.86890187,5376.0142078,1081.57807475
64.0,694.723594411,3586.5034565,5330.74819725,1049.52114634
65.0,692.888982377,3492.97414432,5142.17020633,956.307079633
66.0,651.118828381,3115.65739272,4887.8766957,1121.1004746
67.0,630.890814268,2837.03550671,4729.50875418,1261.5824332
68.0,639.227228621,2520.79569946,4522.56194855,1362.53902047
69.0,668.273357977,2395.87712995,4320.99141002,1256.84092209
70.0,702.800612314,1988.48760172,3979.52142855,1288.23321451
71.0,593.147425472,1459.84319184,3276.6453368,1223.65471949
72.0,406.400868943,1062.82397308,2744.20408242,1274.9792404
73.0,335.580453613,917.848411547,2516.5888818,1263.16001664
74.0,330.584369612,864.724553348,2453.16462088,1257.85569792
75.0,333.276147554,840.569753066,2351.92401321,1178.07811259
76.0,329.922511216,873.010159182,2345.68732181,1142.75465141
