hour_ending,total,process,other
1.0,2.75640544798,2.08358207143,0.672823376545
2.0,2.77407471367,2.09693836676,0.677136346907
3.0,3.08328686328,2.33067353503,0.752613328249
4.0,3.05678296474,2.31063909203,0.746143872705
5.0,2.82708251075,2.13700725275,0.690075257995
6.0,2.71223228375,2.05019133311,0.662040950639
7.0,2.76524008082,2.0902602191,0.674979861725
8.0,2.38535086844,1.80309986951,0.582250998932
9.0,2.16448504729,1.63614617789,0.528338869402
10.0,2.76524008082,2.0902602191,0.674979861725
11.0,2.10264261737,1.58939914424,0.513243473134
12.0,2.34117770421,1.76970913118,0.571468573026
13.0,2.36768160275,1.78974357418,0.57793802857
14.0,2.29700453998,1.73631839286,0.56068614712
15.0,2.09380798452,1.58272099657,0.511086987952
16.0,2.27933527429,1.72296209753,0.556373176758
17.0,2.29700453998,1.73631839286,0.56068614712
18.0,2.55320889252,1.92998467514,0.623224217377
19.0,2.99494053482,2.26389205838,0.731048476437
20.0,2.84475177644,2.15036354808,0.694388228357
21.0,2.72990154944,2.06354762844,0.666353921001
22.0,3.13629466036,2.37074242102,0.765552239338
23.0,2.66805911952,2.01680059479,0.651258524733
24.0,2.68572838521,2.03015689012,0.655571495095
25.0,2.97727126913,2.25053576305,0.726735506075
26.0,3.00377516767,2.27057020605,0.73320496162
27.0,2.88009030782,2.17707613874,0.703014169081
28.0,2.65038985382,2.00344429945,0.646945554369
29.0,3.54268777128,2.67793721361,0.864750557674
30.0,5.38029140326,4.06699192789,1.31329947537
31.0,5.9633771711,4.50774967377,1.45562749733
32.0,6.10473129664,4.61460003641,1.49013126023
33.0,8.72861725193,6.59800989287,2.13060735906
34.0,10.2481741015,7.74665129126,2.50152281024
35.0,10.1244892416,7.65315722391,2.47133201769
36.0,11.2288183474,8.48792568205,2.74089266535
37.0,11.9002504437,8.99546490457,2.90478553913
38.0,10.3983628598,7.8601798015,2.5381830583
39.0,8.71094798624,6.58465359754,2.1262943887
40.0,9.78877319346,7.39938761265,2.38938558081
41.0,6.95285604987,5.25570221224,1.69715383763
42.0,5.6364957558,4.26065821017,1.37583754563
43.0,5.44213383319,4.11373896155,1.32839487164
44.0,4.77070173688,3.60619973902,1.16450199786
45.0,3.43667217713,2.59779944163,0.8388727355
46.0,3.38366438005,2.55773055564,0.825933824412
47.0,3.54268777128,2.67793721361,0.864750557674
48.0,3.35716048151,2.53769611264,0.819464368868
49.0,3.41900291143,2.58444314629,0.834559765136
50.0,4.04626184351,3.0585916305,0.987670213006
51.0,3.61336483405,2.73136239493,0.882002439125
52.0,3.4896799742,2.63786832761,0.851811646586
53.0,7.03236774548,5.31580554122,1.71656220426
54.0,9.700426865,7.33260613601,2.36782072899
55.0,10.389528227,7.85350165387,2.53602657313
56.0,11.2023144488,8.46789123901,2.73442320979
57.0,13.543492153,10.2376003702,3.30589178282
58.0,14.8775217128,11.2460006676,3.63152104519
59.0,13.4551458246,10.1708188936,3.28432693102
60.0,13.7820272399,10.4179103572,3.36411688273
61.0,13.7025155443,10.3578070282,3.3447085161
62.0,12.7042020327,9.60317634208,3.10102569062
63.0,10.4071974927,7.8668579492,2.5403395435
64.0,10.3365204299,7.81343276786,2.52308766204
65.0,7.57128034909,5.72317254877,1.84810780032
66.0,6.11356592949,4.62127818408,1.49228774541
67.0,4.00208867927,3.02520089217,0.976887787097
68.0,3.21580635597,2.43084575,0.784960605968
69.0,3.29531805159,2.49094907899,0.8043689726
70.0,3.61336483405,2.73136239493,0.882002439125
71.0,3.78122285812,2.85824720055,0.922975657567
72.0,3.22464098882,2.43752389767,0.78711709115
73.0,3.52501850559,2.66458091828,0.860437587313
74.0,3.19813709028,2.41748945467,0.780647635606
75.0,3.13629466036,2.37074242102,0.765552239338
76.0,3.33949121582,2.52433981731,0.815151398506
77.0,4.22295450043,3.1921545838,1.03079991663
78.0,5.9633771711,4.50774967377,1.45562749733
79.0,6.39627418056,4.83497890935,1.56129527121
80.0,6.00755033534,4.5411404121,1.46640992324
81.0,6.10473129664,4.61460003641,1.49013126023
82.0,5.15059094927,3.89336008861,1.25723086066
83.0,4.59400907996,3.47263678572,1.12137229424
84.0,3.1451292932,2.37742056868,0.767708724517
85.0,3.33065658297,2.51766166965,0.812994913324
86.0,3.2776487859,2.47759278366,0.800056002238
87.0,3.57802630266,2.70464980426,0.873376498398
88.0,3.55152240412,2.68461536127,0.866907042854
89.0,3.61336483405,2.73136239493,0.882002439125
90.0,3.41016827859,2.57776499863,0.832403279956
91.0,3.77238822528,2.85156905289,0.920819172387
92.0,4.16994670335,3.15208569781,1.01786100554
