cluster,kwh_ann_tot,customer_count,util,sector,building_type,rate_class,kwh_bin,kw_bin
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.1_0.2,210044.369756,42,sdge,ind,food_bev,nonCare,0.1_0.2,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.2_0.3,369598.487829,42,sdge,ind,food_bev,nonCare,0.2_0.3,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.3_0.4,543067.9807300001,41,sdge,ind,food_bev,nonCare,0.3_0.4,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.4_0.5,840963.117721,42,sdge,ind,food_bev,nonCare,0.4_0.5,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.5_0.6,1172330.88057,42,sdge,ind,food_bev,nonCare,0.5_0.6,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.6_0.7,1489567.2401100001,41,sdge,ind,food_bev,nonCare,0.6_0.7,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.7_0.8,2126189.63008,42,sdge,ind,food_bev,nonCare,0.7_0.8,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.8_0.9,3053759.12413,42,sdge,ind,food_bev,nonCare,0.8_0.9,<50kW
sdge-ind-SDG1-food_bev-lt50kW-nonCare-0.9_1.0,5010212.15477,42,sdge,ind,food_bev,nonCare,0.9_1.0,<50kW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.0_0.1,251678.65770300003,1152,sdge,ind,ind_other,nonCare,0.0_0.1,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.0_1.0,171914566.376,125,sdge,ind,plas_rub,nonCare,0.0_1.0,>200kW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.1_0.2,1715095.90149,1153,sdge,ind,ind_other,nonCare,0.1_0.2,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.2_0.3,3731290.21221,1151,sdge,ind,ind_other,nonCare,0.2_0.3,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.3_0.4,6047951.4072900005,1152,sdge,ind,ind_other,nonCare,0.3_0.4,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.4_0.5,8824362.2228,1151,sdge,ind,ind_other,nonCare,0.4_0.5,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.5_0.6,12926795.7536,1152,sdge,ind,ind_other,nonCare,0.5_0.6,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.6_0.7,19085851.0906,1151,sdge,ind,ind_other,nonCare,0.6_0.7,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.7_0.8,29563179.0031,1152,sdge,ind,ind_other,nonCare,0.7_0.8,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.8_0.9,54299948.5085,1152,sdge,ind,ind_other,nonCare,0.8_0.9,noKW
sdge-ind-SDG1-ind_other-noKW-nonCare-0.9_1.0,573922679.721,1152,sdge,ind,ind_other,nonCare,0.9_1.0,noKW
sdge-ind-SDG1-metals-50_200kW-nonCare-0.0_0.25,1697408.39043,28,sdge,ind,metals,nonCare,0.0_0.25,50_200kW
sdge-ind-SDG1-metals-50_200kW-nonCare-0.25_0.5,3808864.3451099996,28,sdge,ind,metals,nonCare,0.25_0.5,50_200kW
sdge-ind-SDG1-metals-50_200kW-nonCare-0.5_0.75,6919577.750839999,28,sdge,ind,metals,nonCare,0.5_0.75,50_200kW
sdge-ind-SDG1-metals-50_200kW-nonCare-0.75_1.0,13778227.7804,28,sdge,ind,metals,nonCare,0.75_1.0,50_200kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.0_0.1,59371.082738,77,sdge,ind,metals,nonCare,0.0_0.1,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.1_0.2,252774.903279,77,sdge,ind,metals,nonCare,0.1_0.2,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.2_0.3,422070.00697600003,77,sdge,ind,metals,nonCare,0.2_0.3,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.3_0.4,646508.153726,77,sdge,ind,metals,nonCare,0.3_0.4,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.4_0.5,960485.626779,77,sdge,ind,metals,nonCare,0.4_0.5,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.5_0.6,1314035.13112,77,sdge,ind,metals,nonCare,0.5_0.6,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.6_0.7,1786177.4362299999,77,sdge,ind,metals,nonCare,0.6_0.7,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.7_0.8,2533720.8047700003,77,sdge,ind,metals,nonCare,0.7_0.8,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.8_0.9,3823724.37645,77,sdge,ind,metals,nonCare,0.8_0.9,<50kW
sdge-ind-SDG1-metals-lt50kW-nonCare-0.9_1.0,7467890.41333,77,sdge,ind,metals,nonCare,0.9_1.0,<50kW
sdge-ind-SDG1-plas_rub-50_200kW-nonCare-0.0_1.0,9427117.78128,32,sdge,ind,plas_rub,nonCare,0.0_1.0,50_200kW
sdge-ind-SDG1-plas_rub-lt50kW-nonCare-0.0_0.2,95548.9537474,32,sdge,ind,plas_rub,nonCare,0.0_0.2,<50kW
