hour_ending,total,process,other
1.0,158.1043003,127.124403611,30.979896689
2.0,156.747659845,126.033591353,30.7140684916
3.0,151.24592797,121.609901535,29.6360264347
4.0,147.856218866,118.884392188,28.9718266777
5.0,147.762844366,118.809314043,28.9535303229
6.0,151.992208061,122.209951068,29.7822569931
7.0,145.365379944,116.881623055,28.4837568888
8.0,149.594743638,120.282260079,29.3124835588
9.0,156.903318101,126.158749005,30.7445690958
10.0,158.211379272,127.210500893,31.0008783794
11.0,160.684013746,129.198632665,31.4853810805
12.0,170.913890733,137.424006729,33.4898840042
13.0,139.159913204,111.892092366,27.267820838
14.0,136.757130629,109.960125296,26.7970053333
15.0,143.710411541,115.550939002,28.1594725395
16.0,132.523982863,106.556445673,25.9675371898
17.0,140.720791202,113.147122648,27.5736685539
18.0,147.101654728,118.277681834,28.8239728938
19.0,138.856267105,111.647944489,27.2083226159
20.0,145.651639773,117.111791431,28.5398483418
21.0,147.571595391,118.655539529,28.9160558616
22.0,156.321082586,125.690600179,30.6304824071
23.0,163.530964396,131.487734877,32.0432295189
24.0,163.536282549,131.49201096,32.0442715894
25.0,167.193228857,134.432393464,32.7608353932
26.0,183.015655414,147.154479681,35.8611757329
27.0,223.479643075,179.689713001,43.7899300741
28.0,211.952341224,170.421139216,41.5312020081
29.0,217.952854517,175.245876255,42.7069782617
30.0,243.178696581,195.528816832,47.6498797486
31.0,273.773418959,220.128627391,53.6447915676
32.0,276.497336177,222.318804073,54.1785321037
33.0,282.596542122,227.22289534,55.3736467824
34.0,250.79776938,201.654963204,49.1428061759
35.0,288.222023334,231.746086314,56.4759370202
36.0,282.418895347,227.08005773,55.338837617
37.0,270.536299946,217.525808726,53.0104912203
38.0,236.329426474,190.021633436,46.3077930381
39.0,220.775464388,177.515407165,43.2600572231
40.0,223.459904545,179.673842156,43.7860623891
41.0,223.124349525,179.404037782,43.7203117433
42.0,187.555517444,150.804774151,36.7507432931
43.0,174.86364229,140.59982048,34.2638218095
