hour_ending,total,pumping,other
1.0,1991.28641491,1593.02913193,398.257282982
2.0,2002.17937145,1601.74349716,400.43587429
3.0,1876.69116311,1501.35293049,375.338232622
4.0,1861.24542287,1488.9963383,372.249084574
5.0,1743.85105221,1395.08084177,348.770210442
6.0,951.632965077,761.306372062,190.326593015
7.0,556.990929591,445.592743673,111.398185918
8.0,904.857328158,723.885862526,180.971465632
9.0,745.779693448,596.623754758,149.15593869
10.0,1193.30146843,954.641174744,238.660293686
11.0,2323.53845162,1858.8307613,464.707690324
12.0,2537.75535552,2030.20428442,507.551071104
13.0,2525.41225306,2020.32980245,505.082450612
14.0,2491.6879294,1993.35034352,498.33758588
15.0,2501.97384811,2001.57907849,500.394769622
16.0,2481.13221609,1984.90577287,496.226443218
17.0,2575.9312899,2060.74503192,515.18625798
18.0,1331.70609274,1065.36487419,266.341218548
19.0,1263.34688868,1010.67751094,252.669377736
20.0,1264.12254812,1011.2980385,252.824509624
21.0,2034.79079243,1627.83263394,406.958158486
22.0,1933.95506469,1547.16405175,386.791012938
23.0,1200.95688991,960.765511928,240.191377982
24.0,1216.36890582,973.095124656,243.273781164
25.0,1385.93480519,1108.74784415,277.186961038
26.0,1275.99351005,1020.79480804,255.19870201
27.0,1450.75295527,1160.60236422,290.150591054
28.0,1805.49911586,1444.39929269,361.099823172
29.0,1747.96541969,1398.37233575,349.593083938
30.0,1777.23813263,1421.7905061,355.447626526
31.0,1988.04887984,1590.43910387,397.609775968
32.0,2091.27903457,1673.02322766,418.255806914
33.0,2310.41968972,1848.33575178,462.083937944
34.0,2379.65572619,1903.72458095,475.931145238
35.0,2618.05297016,2094.44237613,523.610594032
36.0,2324.51645701,1859.61316561,464.903291402
37.0,2054.01365692,1643.21092554,410.802731384
38.0,2049.96673808,1639.97339046,409.993347616
39.0,2340.63668372,1872.50934698,468.127336744
40.0,2338.30970539,1870.64776431,467.661941078
41.0,1997.05327426,1597.64261941,399.410654852
42.0,1449.2353607,1159.38828856,289.84707214
43.0,1414.93772354,1131.95017883,282.987544708
44.0,1360.20314623,1088.16251698,272.040629246
45.0,1944.00491314,1555.20393051,388.800982628
46.0,2059.27465141,1647.41972113,411.854930282
47.0,2102.3068884,1681.84551072,420.46137768
48.0,2005.3831822,1604.30654576,401.07663644
49.0,2125.47549876,1700.38039901,425.095099752
50.0,2105.17345591,1684.13876473,421.034691182
51.0,1940.5313078,1552.42504624,388.10626156
52.0,1949.46825357,1559.57460286,389.893650714
53.0,1804.38621318,1443.50897054,360.877242636
54.0,1917.69994068,1534.15995254,383.539988136
55.0,1972.40079366,1577.92063493,394.480158732
56.0,2678.62185545,2142.89748436,535.72437109
57.0,2745.86815683,2196.69452546,549.173631366
58.0,2550.8403931,2040.67231448,510.16807862
59.0,2643.61600749,2114.89280599,528.723201498
60.0,2370.31408854,1896.25127083,474.062817708
61.0,2314.56778153,1851.65422522,462.913556306
62.0,2428.38737389,1942.70989911,485.677474778
63.0,2270.79360942,1816.63488754,454.158721884
64.0,2071.92127278,1657.53701822,414.384254556
65.0,1608.7176873,1286.97414984,321.74353746
66.0,1237.68267837,990.146142696,247.536535674
67.0,1235.7266676,988.58133408,247.14533352
68.0,1256.56829962,1005.2546397,251.313659924
69.0,1785.6017649,1428.48141192,357.12035298
70.0,1891.90083308,1513.52066646,378.380166616
71.0,1827.45365056,1461.96292045,365.490730112
72.0,1874.02694154,1499.22155323,374.805388308
73.0,1843.33780701,1474.67024561,368.667561402
74.0,1802.63254835,1442.10603868,360.52650967
75.0,1836.4917693,1469.19341544,367.29835386
76.0,1768.20001389,1414.56001111,353.640002778
77.0,1799.59735922,1439.67788738,359.919471844
78.0,1666.38628076,1333.10902461,333.277256152
79.0,1947.27617253,1557.82093802,389.455234506
80.0,1943.70139422,1554.96111538,388.740278844
81.0,1851.19557442,1480.95645954,370.239114884
82.0,1169.52582025,935.6206562,233.90516405
83.0,1938.67647,1550.941176,387.735294
84.0,2099.64266683,1679.71413346,419.928533366
85.0,2064.06350537,1651.2508043,412.812701074
86.0,2080.08255911,1664.06604729,416.016511822
87.0,2784.28016148,2227.42412918,556.856032296
88.0,2893.17600259,2314.54080207,578.635200518
89.0,2807.04407995,2245.63526396,561.40881599
90.0,1829.57828295,1463.66262636,365.91565659
91.0,1313.42750932,1050.74200746,262.685501864
92.0,1275.25157493,1020.20125994,255.050314986
93.0,1967.0386262,1573.63090096,393.40772524
94.0,2146.82299564,1717.45839651,429.364599128
95.0,1987.98143119,1590.38514495,397.596286238
96.0,1985.24976097,1588.19980878,397.049952194
97.0,2085.24238063,1668.1939045,417.048476126
98.0,2108.95058016,1687.16046413,421.790116032
99.0,1912.03425431,1529.62740345,382.406850862
100.0,1933.41547551,1546.73238041,386.683095102
101.0,1164.80441494,931.843531952,232.960882988
102.0,1014.69745032,811.757960256,202.939490064
103.0,1151.04489089,920.835912712,230.208978178
104.0,1280.71491536,1024.57193229,256.142983072
105.0,1681.62967505,1345.30374004,336.32593501
106.0,2061.3992838,1649.11942704,412.27985676
107.0,1998.50342017,1598.80273614,399.700684034
108.0,1652.52558373,1322.02046698,330.505116746
109.0,1637.01239485,1309.60991588,327.40247897
110.0,1822.46245066,1457.96996053,364.492490132
111.0,1596.40830916,1277.12664733,319.281661832
112.0,1335.98908185,1068.79126548,267.19781637
113.0,1348.73687619,1078.98950095,269.747375238
114.0,1247.22666197,997.781329576,249.445332394
115.0,1255.62401856,1004.49921485,251.124803712
116.0,1276.56682355,1021.25345884,255.31336471
117.0,1872.23955239,1497.79164191,374.447910478
118.0,1380.94360529,1104.75488423,276.188721058
119.0,1225.94661374,980.757290992,245.189322748
120.0,1232.55658118,986.045264944,246.511316236
121.0,1398.88494547,1119.10795638,279.776989094
122.0,1242.40408369,993.923266952,248.480816738
123.0,1722.80707424,1378.24565939,344.561414848
124.0,1787.42287838,1429.9383027,357.484575676
125.0,1736.5665983,1389.25327864,347.31331966
126.0,1574.11653122,1259.29322498,314.823306244
127.0,1809.74838064,1447.79870451,361.949676128
128.0,1996.71603102,1597.37282482,399.343206204
129.0,2542.37558786,2033.90047029,508.475117572
130.0,2271.87278777,1817.49823022,454.374557554
131.0,2466.73192989,1973.38554391,493.346385978
132.0,1911.05624892,1528.84499914,382.211249784
133.0,2084.6353428,1667.70827424,416.92706856
134.0,2082.3420888,1665.87367104,416.46841776
135.0,2214.91240511,1771.92992409,442.982481022
136.0,1827.92579109,1462.34063287,365.585158218
137.0,1404.85415076,1123.88332061,280.970830152
138.0,1243.2809161,994.62473288,248.65618322
139.0,1284.52576394,1027.62061115,256.905152788
140.0,1266.11228322,1012.88982658,253.222456644
141.0,1778.78945152,1423.03156122,355.757890304
142.0,2028.24827364,1622.59861891,405.649654728
143.0,1985.18231233,1588.14584986,397.036462466
144.0,1636.50652999,1309.20522399,327.301305998
145.0,1271.94659121,1017.55727297,254.389318242
146.0,1300.47736903,1040.38189522,260.095473806
147.0,1151.2135125,920.97081,230.2427025
148.0,1162.57860958,930.062887664,232.515721916
149.0,1744.01967382,1395.21573906,348.803934764
150.0,1807.1178834,1445.69430672,361.42357668
