hour_ending,total,process,other
1.0,23.8690107289,13.0837540256,10.7852567033
2.0,24.4604009844,13.4079234989,11.0524774855
3.0,24.2139635754,13.2728392896,10.9411242858
4.0,24.002200029,13.1567614938,10.8454385352
5.0,24.1946176436,13.2622348529,10.9323827907
6.0,24.7172554335,13.5487177895,11.168537644
7.0,25.2442088544,13.8375663313,11.4066425231
8.0,24.7889841963,13.588035778,11.2009484183
9.0,24.8653262197,13.6298825167,11.235443703
10.0,25.2012013598,13.8139918527,11.3872095071
11.0,25.0114624127,13.7099868003,11.3014756124
12.0,25.1556640125,13.7890306402,11.3666333723
13.0,25.0083373006,13.7082737759,11.3000635247
14.0,25.3404920691,13.8903437971,11.450148272
15.0,24.9230663855,13.6615326817,11.2615337038
16.0,25.0970309574,13.7568910396,11.3401399178
17.0,25.4433231377,13.9467104569,11.4966126808
18.0,25.7922939855,14.1379981808,11.6542958047
19.0,25.404631274,13.9255015835,11.4791296905
20.0,25.4403468405,13.9450790051,11.4952678354
21.0,25.4107326833,13.9288460597,11.4818866236
22.0,26.051975917,14.2803423506,11.7716335664
23.0,25.8095565093,14.1474606013,11.662095908
24.0,26.3574928255,14.4478108782,11.9096819473
25.0,28.8163607649,15.7956347854,13.0207259795
26.0,29.0729175844,15.9362659308,13.1366516536
27.0,31.151861185,17.0758350153,14.0760261697
28.0,41.1508804743,22.5567789206,18.5941015537
29.0,48.2673559165,26.4576617545,21.809694162
30.0,48.073747783,26.3515358147,21.7222119683
31.0,42.9229678327,23.5281453242,19.3948225085
32.0,39.279533604,21.5310035993,17.7485300047
33.0,37.5581921131,20.587453449,16.9707386641
34.0,39.888484013,21.8647986383,18.0236853747
35.0,43.2601823065,23.7129888135,19.547193493
36.0,45.5162155911,24.9496292802,20.5665863109
37.0,43.1211892268,23.6368000142,19.4843892126
38.0,42.3815793703,23.2313842411,19.1501951292
39.0,43.4531951805,23.8187884629,19.6344067176
40.0,40.8731919447,22.4045644673,18.4686274774
41.0,40.2657296843,22.0715851543,18.19414453
42.0,39.4628735121,21.6315010304,17.8313724817
43.0,36.21766785,19.8526475569,16.3650202931
44.0,35.7432460749,19.5925941395,16.1506519354
45.0,36.7517643842,20.1454115829,16.6063528013
46.0,37.0325780259,20.2993390606,16.7332389653
47.0,37.2647292082,20.4265923012,16.838136907
48.0,34.3330764571,18.8196122751,15.513464182
49.0,33.1357120899,18.1632792147,14.9724328752
50.0,33.2697942791,18.2367761184,15.0330181607
51.0,32.4048823101,17.7626762244,14.6422060857
52.0,32.5440242047,17.8389465963,14.7050776084
53.0,31.7454836634,17.4012280775,14.3442555859
54.0,38.953182615,21.3521149091,17.6010677059
55.0,42.653910565,23.3806620812,19.2732484838
56.0,43.4275990245,23.8047579774,19.6228410471
57.0,39.0217862657,21.3897198732,17.6320663925
58.0,39.0954496216,21.4300983053,17.6653513163
59.0,44.0996469344,24.1731397945,19.9265071399
60.0,44.8475904231,24.5831236327,20.2644667904
61.0,47.7347475309,26.1657134543,21.5690340766
62.0,43.1707445754,23.6639636868,19.5067808886
63.0,43.1317550819,23.6425916681,19.4891634138
64.0,40.6605355091,22.287997236,18.3725382731
65.0,37.6317066541,20.6277503085,17.0039563456
66.0,32.994784417,18.0860299718,14.9087544452
67.0,32.1038298474,17.5976548746,14.5061749728
68.0,30.5507979636,16.7463633237,13.8044346399
69.0,32.4526518803,17.7888610259,14.6637908544
70.0,30.1437893203,16.5232622896,13.6205270307
71.0,29.2084879223,16.0105785605,13.1979093618
72.0,28.6267706327,15.6917113055,12.9350593272
