hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,326.59536,18173.5034942,42404.8414866,60904.9403408
2.0,0.0,251.2272,16741.9045042,39064.4438432,56057.5755474
3.0,0.0,316.546272,15714.0123833,36666.0288943,52696.5875496
4.0,0.0,361.767168,15210.6563548,35491.5314944,51063.9550172
5.0,0.0,356.742624,14726.9820157,34362.9580365,49446.6826762
6.0,0.0,477.33168,14891.2224067,34746.1856157,50114.7397024
7.0,0.0,879.2952,15704.80013,36644.5336367,53228.6289667
8.0,0.0,1150.620576,16936.3649765,39518.1849452,57605.1704977
9.0,0.0,1406.87232,18070.2064637,42163.8150821,61640.8938658
10.0,0.0,1934.44944,18451.6771017,43053.9132373,63440.039779
11.0,0.0,2331.388416,18154.4839705,42360.4625978,62846.3349843
12.0,0.0,2522.321088,17518.0061642,40875.3477165,60915.6749687
13.0,0.0,2346.462048,17611.2634024,41092.947939,61050.6733894
14.0,0.0,2256.020256,16854.5962668,39327.3912892,58438.007812
15.0,6.40645540013,2039.964864,16274.4526294,37973.7228021,56294.5467509
16.0,6.40645540013,1703.320416,16780.9624123,39155.5789621,57646.2682458
17.0,0.0,1416.921408,18129.8690074,42303.0276841,61849.8180995
18.0,0.0,989.835168,21509.375771,50188.5434658,72687.7544048
19.0,0.0,753.6816,23845.667864,55639.8916827,80239.2411467
20.0,0.0,688.362528,23685.0670773,55265.1565138,79638.5861191
21.0,0.0,552.69984,22670.1200244,52896.9467237,76119.7665881
22.0,0.0,396.938976,21995.0528482,51321.7899792,73713.7818034
23.0,0.0,276.34992,20181.9292873,47091.1683369,67549.4475442
24.0,0.0,306.497184,17718.9943346,41344.3201142,59369.8116328
25.0,0.0,326.59536,15324.3215308,35756.7502385,51407.6671293
26.0,0.0,251.2272,14145.7650005,33006.7850011,47403.7772016
27.0,0.0,316.546272,13275.3482346,30975.8125473,44567.7070539
28.0,0.0,361.767168,13055.8218322,30463.5842752,43881.1732755
29.0,0.0,356.742624,13485.210705,31465.4916449,45307.4449739
30.0,0.0,477.33168,14174.4357294,33073.6833687,47725.4507781
31.0,0.0,879.2952,15887.6531927,37071.1907831,53838.1391758
32.0,0.0,1150.620576,17586.9024799,41036.1057864,59773.6288423
33.0,0.0,1406.87232,18389.0973967,42907.8939257,62703.8636425
34.0,0.0,1934.44944,17532.3362464,40908.784575,60375.5702614
35.0,0.0,2331.388416,17090.6432668,39878.1676225,59300.1993053
36.0,0.0,2522.321088,16222.5047245,37852.5110239,56597.3368364
37.0,0.0,2346.462048,15669.8630155,36563.0137029,54579.3387664
38.0,0.0,2256.020256,14650.9890413,34185.6410963,51092.6503936
39.0,0.0,2039.964864,15051.4949715,35120.1549336,52211.6147691
40.0,0.0,1703.320416,16000.5131679,37334.5307251,55038.364309
41.0,0.0,1416.921408,17504.0444043,40842.7702768,59763.7360891
42.0,0.0,989.835168,21422.7395264,49986.3922284,72398.9669228
43.0,0.0,753.6816,23200.6713133,54134.8997311,78089.2526444
44.0,0.0,688.362528,22801.8201117,53204.2469273,76694.429567
45.0,0.0,552.69984,22603.5517165,52741.6206717,75897.8722282
46.0,0.0,396.938976,21660.8685071,50542.0265165,72599.8339996
47.0,0.0,276.34992,19770.8104216,46131.8909836,66179.0513252
48.0,0.0,306.497184,17180.9869302,40088.9695037,57576.4536179
49.0,0.0,326.59536,15398.5847177,35930.0310079,51655.2110856
50.0,0.0,251.2272,14198.3235689,33129.4216609,47578.9724298
51.0,0.0,316.546272,13582.7524156,31693.0889698,45592.3876575
52.0,0.0,361.767168,13118.4647004,30609.7509675,44089.9828359
53.0,0.0,356.742624,12940.5249563,30194.5582315,43491.8258118
54.0,0.0,477.33168,13623.2052035,31787.4788082,45888.0156917
55.0,0.0,879.2952,15550.4635968,36284.4150591,52714.1738559
56.0,0.0,1150.620576,17026.5894059,39728.7086139,57905.9185958
57.0,0.0,1406.87232,17633.4427565,41144.6997652,60185.0148417
58.0,0.0,1934.44944,17130.3667122,39970.8556618,59035.671814
59.0,0.0,2331.388416,16580.6294366,38688.1353521,57600.1532047
60.0,0.0,2522.321088,16048.7197165,37447.0126718,56018.0534763
61.0,6.40645540013,2346.462048,15911.7601646,37127.4403841,55392.0690521
62.0,78.4790786516,2256.020256,15217.6611565,35507.8760319,53060.0365231
63.0,6.40645540013,2039.964864,15345.1206422,35805.2814985,53196.7734601
64.0,0.0,1703.320416,15539.7765215,36259.4785502,53502.5754877
65.0,0.0,1416.921408,16847.9231086,39311.8205866,57576.6651032
66.0,0.0,989.835168,19772.6904966,46136.2778254,66898.80349
67.0,0.0,753.6816,22521.6713537,52550.5664919,75825.9194456
68.0,0.0,688.362528,22507.8085711,52518.2199992,75714.3910983
69.0,0.0,552.69984,21736.8882133,50719.4058311,73008.9938844
70.0,0.0,396.938976,21044.7244761,49104.3571108,70546.0205629
71.0,0.0,276.34992,19124.8809757,44624.7222765,64025.9531722
72.0,0.0,306.497184,17125.4898903,39959.4764107,57391.463485
73.0,0.0,326.59536,14657.3553008,34200.4957019,49184.4463627
74.0,0.0,251.2272,13735.2471858,32048.9101001,46035.3844859
75.0,0.0,316.546272,12781.7518187,29824.0875768,42922.3856675
76.0,0.0,361.767168,12266.5083375,28621.8527876,41250.1282931
77.0,0.0,356.742624,12411.2661827,28959.6210929,41727.6298996
78.0,0.0,477.33168,12965.4550885,30252.7285398,43695.5153083
79.0,0.0,879.2952,13843.8795334,32302.385578,47025.5603114
80.0,0.0,1150.620576,15292.2902144,35682.0105003,52124.9212907
81.0,0.0,1406.87232,16753.3037814,39091.0421565,57251.2182579
82.0,0.0,1934.44944,17545.7597182,40940.106009,60420.3151672
83.0,6.40645540013,2331.388416,17366.0027083,40520.672986,60224.4705657
84.0,78.4790786516,2522.321088,16806.4591367,39215.0713191,58622.3306225
85.0,237.038849805,2346.462048,16196.2201074,37791.1802506,56570.9012558
86.0,237.038849805,2256.020256,15995.3914937,37322.5801519,55811.0307514
87.0,164.966226553,2039.964864,15935.9401748,37183.8604078,55324.7316732
88.0,323.525997707,1703.320416,15870.4263415,37030.9947969,54928.2675521
89.0,323.525997707,1416.921408,17481.380099,40789.8868976,60011.7144023
90.0,164.966226553,989.835168,19851.6771868,46320.5801027,67327.0586841
91.0,0.0,753.6816,22191.3084519,51779.7197211,74724.709773
92.0,0.0,688.362528,22241.1570725,51896.0331691,74825.5527696
93.0,0.0,552.69984,22362.4487096,52179.046989,75094.1955385
94.0,0.0,396.938976,21103.8278218,49242.2649175,70743.0317153
95.0,0.0,276.34992,19520.7732167,45548.4708389,65345.5939756
96.0,0.0,306.497184,17361.7697062,40510.7959812,58179.0628714
97.0,0.0,326.59536,15048.3723506,35112.8688181,50487.8365287
98.0,0.0,251.2272,13688.8994774,31940.7654472,45880.8921246
99.0,0.0,316.546272,13008.4816024,30353.123739,43678.1516135
100.0,0.0,361.767168,12710.4846564,29657.7975317,42730.0493561
101.0,0.0,356.742624,12681.4052034,29589.9454747,42628.0933021
102.0,0.0,477.33168,13197.4607641,30794.0751164,44468.8675605
103.0,0.0,879.2952,14011.7731053,32694.1372457,47585.205551
104.0,0.0,1150.620576,16057.4948868,37467.4880691,54675.6035319
105.0,0.0,1406.87232,17419.6021769,40645.7384129,59472.2129098
106.0,0.0,1934.44944,18004.3616107,42010.1770917,61948.9881424
107.0,6.40645540013,2331.388416,18106.2448669,42247.9046894,62691.9444277
108.0,395.598620958,2522.321088,16877.9082094,39381.785822,59177.6137404
109.0,955.238691443,2346.462048,15826.4941837,36928.4864287,56056.6813518
110.0,589.047440346,2256.020256,15302.8627117,35706.6796606,53854.6100686
111.0,395.598620958,2039.964864,15538.658746,36256.8704073,54231.0926383
112.0,395.598620958,1703.320416,15396.9276872,35926.1646035,53422.0113277
113.0,395.598620958,1416.921408,16042.7451232,37433.071954,55288.3371062
114.0,237.038849805,989.835168,19639.1515032,45824.6868409,66690.7123619
115.0,78.4790786516,753.6816,22326.461534,52095.0769127,75253.6991254
116.0,6.40645540013,688.362528,22002.7199925,51339.6799824,74037.1689583
117.0,0.0,552.69984,21847.1785064,50976.7498483,73376.6281947
118.0,0.0,396.938976,21276.9452853,49646.2056656,71320.0899269
119.0,0.0,276.34992,18658.5989873,43536.7309704,62471.6798777
120.0,0.0,306.497184,16592.6248108,38716.1245586,55615.2465534
121.0,0.0,326.59536,14120.6167817,32948.105824,47395.3179657
122.0,0.0,251.2272,12978.3236602,30282.755207,43512.3060672
123.0,0.0,316.546272,12682.0441405,29591.4363279,42590.0267404
124.0,0.0,361.767168,12631.613412,29473.7646281,42467.1452081
125.0,0.0,356.742624,12893.4426301,30084.6994702,43334.8847243
126.0,0.0,477.33168,13875.5130454,32376.1971059,46729.0418313
127.0,0.0,879.2952,16026.4291841,37395.0014297,54300.7258138
128.0,0.0,1150.620576,18537.0972851,43253.2269986,62940.9448597
129.0,0.0,1406.87232,18159.0284409,42371.0663621,61936.967123
130.0,0.0,1934.44944,17923.8875638,41822.4043154,61680.7413192
131.0,78.4790786516,2331.388416,16801.6831485,39203.9273466,58415.4779898
132.0,395.598620958,2522.321088,15249.4422605,35582.0319411,53749.3939106
133.0,955.238691443,2346.462048,14688.8960743,34274.09084,52264.6876537
134.0,1154.97937386,2256.020256,13975.955904,32610.563776,49997.5193099
135.0,755.498009026,2039.964864,13738.6149938,32056.7683188,48590.8461856
136.0,589.047440346,1703.320416,14734.3593013,34380.1717029,51406.8988605
137.0,237.038849805,1416.921408,15992.2756353,37315.3098158,54961.5457089
138.0,78.4790786516,989.835168,20420.5027227,47647.8396862,69136.6566556
139.0,6.40645540013,753.6816,22989.7531504,53642.757351,77392.5985568
140.0,6.40645540013,688.362528,23693.1264149,55283.9616348,79671.8570331
141.0,6.40645540013,552.69984,22898.1640182,53429.0493757,76886.3196893
142.0,6.40645540013,396.938976,21964.0653313,51249.4857731,73616.8965359
143.0,6.40645540013,276.34992,19683.4576801,45928.0679203,65894.2819758
144.0,0.0,306.497184,17026.3832632,39728.227614,57061.1080612
145.0,0.0,326.59536,15450.9429358,36052.2001836,51829.7384794
146.0,0.0,251.2272,14029.7621627,32736.1117129,47017.1010755
147.0,0.0,316.546272,13420.6690032,31314.8943408,45052.109616
148.0,0.0,361.767168,13159.1358162,30704.6502379,44225.5532221
149.0,0.0,356.742624,13475.3935391,31442.5849245,45274.7210876
150.0,0.0,477.33168,14917.134382,34806.6468914,50201.1129534
151.0,0.0,879.2952,17182.5173394,40092.5404587,58154.3529981
152.0,0.0,1150.620576,19217.4202034,44840.6471412,65208.6879206
153.0,0.0,1406.87232,18527.8066047,43231.5487443,63166.227669
154.0,0.0,1934.44944,17573.2224958,41004.1858235,60511.8577593
155.0,0.0,2331.388416,17178.9241677,40084.1563914,59594.4689751
156.0,6.40645540013,2522.321088,16389.4633282,38242.0810991,57160.2719707
157.0,6.40645540013,2346.462048,15899.3726136,37098.5360983,55350.7772153
158.0,6.40645540013,2256.020256,15130.2787929,35303.98385,52696.6893543
159.0,6.40645540013,2039.964864,14844.6159096,34637.4371225,51528.4243515
160.0,0.0,1703.320416,15442.3444817,36032.137124,53177.8020217
161.0,0.0,1416.921408,16692.6165958,38949.4387235,57058.9767273
162.0,0.0,989.835168,21027.9339415,49065.1791967,71082.9483062
163.0,0.0,753.6816,23444.9164798,54704.8051196,78903.4031994
164.0,0.0,688.362528,23449.1520099,54714.688023,78852.2025609
165.0,0.0,552.69984,23006.9237029,53682.8219736,77242.4455165
166.0,0.0,396.938976,21839.0467289,50957.7757009,73193.7614058
167.0,0.0,276.34992,18806.4723099,43881.7687231,62964.590953
168.0,0.0,306.497184,16042.9303041,37433.5040428,53782.9315309
169.0,0.0,326.59536,14285.7722325,33333.4685424,47945.8361349
170.0,0.0,251.2272,13237.8441137,30888.302932,44377.3742457
171.0,0.0,316.546272,12837.0485082,29953.1131858,43106.707966
172.0,0.0,361.767168,12714.6920132,29667.6146976,42744.0738788
173.0,0.0,356.742624,12831.5343799,29940.2468863,43128.5238902
174.0,0.0,477.33168,13963.2664875,32580.9551375,47021.553305
175.0,0.0,879.2952,16441.354706,38363.1609806,55683.8108866
176.0,0.0,1150.620576,18164.5124652,42383.8624187,61698.9954599
177.0,0.0,1406.87232,18172.9861801,42403.6344204,61983.4929205
178.0,0.0,1934.44944,17823.6456181,41588.5064423,61346.6015004
179.0,0.0,2331.388416,17430.6330316,40671.4770737,60433.4985213
180.0,0.0,2522.321088,16786.7435282,39169.0682324,58478.1328486
181.0,0.0,2346.462048,15828.1654169,36932.3859728,55107.0134377
182.0,0.0,2256.020256,15027.7289573,35064.7009005,52348.4501138
183.0,0.0,2039.964864,14912.2856569,34795.3331993,51747.5837202
184.0,0.0,1703.320416,15248.623839,35580.122291,52532.066546
185.0,0.0,1416.921408,17386.1976468,40567.7945093,59370.9135641
186.0,0.0,989.835168,21724.3190548,50690.0777944,73404.2320172
187.0,0.0,753.6816,23655.9361068,55197.1842492,79606.801956
188.0,0.0,688.362528,23849.9701775,55649.9304142,80188.2631197
189.0,0.0,552.69984,23629.6125112,55135.7625262,79318.0748774
190.0,0.0,396.938976,22074.7922773,51507.8486471,73979.5799004
191.0,0.0,276.34992,19411.0480223,45292.4453855,64979.8433278
192.0,0.0,306.497184,16562.5054787,38645.846117,55514.8487797
193.0,0.0,326.59536,14664.8350463,34217.9484413,49209.3788475
194.0,0.0,251.2272,13616.5730103,31772.0036906,45639.8039009
195.0,0.0,316.546272,12832.9079348,29943.4518479,43092.9060547
196.0,0.0,361.767168,12390.2580546,28910.6021273,41662.6273499
197.0,0.0,356.742624,12292.3916569,28682.2471993,41331.3814802
198.0,0.0,477.33168,13313.2632517,31064.2809205,44854.8758522
