hour_ending,hvac,lighting,total,other
1.0,215.690111251,283.333540183,979.192069925,480.168418491
2.0,207.032863726,276.913179022,959.748561882,475.802519134
3.0,213.69963495,276.5667071,959.931178725,469.664836675
4.0,223.010326432,277.415787745,962.77324251,462.347128332
5.0,227.026784243,279.885626489,958.168073244,451.255662512
6.0,249.592707862,282.802794885,970.915270184,438.519767438
7.0,240.472087906,289.900615831,950.502056607,420.129352871
8.0,282.363718904,306.123023217,866.35658422,277.869842099
9.0,241.484688222,299.752243406,836.283410444,295.046478816
10.0,237.206581309,319.780029211,883.89178743,326.90517691
11.0,229.432908322,333.529723552,920.824980968,357.862349093
12.0,210.484470985,336.601334696,930.274084556,383.188278874
13.0,201.985165039,337.046308503,931.200937641,392.169464099
14.0,205.16954223,338.501208312,934.313069073,390.64231853
15.0,211.014335988,338.679438705,935.840070178,386.146295484
16.0,194.658204509,336.327319259,935.433097725,404.447573958
17.0,198.151088882,345.442163683,969.554831369,425.961578805
18.0,217.366476773,323.369360079,1051.47420907,510.738372214
19.0,199.297380247,316.848464684,1090.72496045,574.579115521
20.0,197.374068309,311.631090331,1087.80532057,578.800161929
21.0,210.5855364,301.265149542,1052.29615097,540.445465023
22.0,205.859811484,292.589573692,1024.27473507,525.825349898
23.0,196.074043384,285.450539958,999.169341455,517.644758113
24.0,206.826782296,286.88192874,1006.63845398,512.929742948
25.0,261.549206313,288.796759208,977.742137687,427.396172165
26.0,264.910043744,278.920988674,959.110959293,415.279926875
27.0,263.713168344,277.801621386,958.992229464,417.477439734
28.0,284.153588492,280.908713507,968.832963065,403.770661066
29.0,328.950332081,293.851149688,970.569078164,347.767596395
30.0,324.324002498,333.864181883,1001.21953497,343.031350586
31.0,261.849079569,403.517606348,996.70027841,331.333592493
32.0,241.239036639,456.977408579,958.436944094,260.220498876
33.0,231.218584977,476.067490425,969.59421258,262.308137178
34.0,231.47962769,516.668909016,1038.91859278,290.770056077
35.0,234.566372396,531.157222281,1074.45117824,308.727583562
36.0,242.462017558,536.859269451,1097.17468886,317.853401851
37.0,245.170309856,538.278854046,1100.59389617,317.144732273
38.0,248.793358821,547.402632241,1110.83881644,314.642825383
39.0,245.117090942,541.982729906,1087.05198736,299.952166509
40.0,256.627924853,548.43887436,1085.71762439,280.650825176
41.0,289.149730574,568.590933486,1113.82333539,256.082671332
42.0,286.12240225,575.796134551,1180.46982297,318.55128617
43.0,271.701050923,558.086944219,1206.83311403,377.045118887
44.0,270.402481199,513.630736871,1192.29703635,408.263818285
45.0,297.552363602,449.656820459,1155.39225174,408.183067683
46.0,269.026321332,387.553433531,1093.94507605,437.365321184
47.0,265.878284198,338.808692491,1047.35226711,442.665290419
48.0,202.524765559,311.791987151,1037.66962921,523.352876501
49.0,209.288458901,299.653254949,1013.55132404,504.60961019
50.0,198.935703945,288.856941374,992.058562195,504.265916876
51.0,203.81007535,284.320707167,979.655530738,491.524748221
52.0,210.641593556,288.046151343,990.50201416,491.81426926
53.0,296.83635775,300.357013843,989.652893355,392.459521761
54.0,283.760981345,337.030870357,1007.5044126,386.712560902
55.0,240.759289502,406.418142137,1003.72465949,356.547227853
56.0,215.534749497,449.683256457,942.269925393,277.051919439
57.0,222.523955138,471.950042444,960.157245349,265.683247767
58.0,245.688377968,552.928268098,1111.67248189,313.055835823
59.0,253.088281044,573.832876603,1161.01432216,334.093164512
60.0,260.038575098,575.518176671,1175.9984312,340.44167943
61.0,261.326770197,574.006442208,1172.20438047,336.871168069
62.0,249.567799285,545.592044699,1104.31448623,309.154642242
63.0,248.036465465,539.912794786,1077.84274347,289.893483221
64.0,258.671156859,543.650573795,1072.2037206,269.881989949
65.0,283.559572612,553.444284298,1083.18482298,246.180966071
66.0,280.810297204,565.361390888,1160.82200365,314.65031556
67.0,266.00158096,543.959016607,1178.95047574,368.989878176
68.0,264.988159944,490.590046313,1141.85959509,386.281388831
69.0,283.021877614,428.927663595,1105.62252152,393.672980315
70.0,266.072800722,379.661073292,1072.41297634,426.679102322
71.0,262.86512694,339.617368643,1049.750312,447.267816417
72.0,204.238141828,314.424235471,1046.31725278,527.654875483
73.0,204.229488021,296.017731563,1011.74428955,511.49706997
74.0,197.771740591,286.608360406,988.533019036,504.152918039
75.0,196.39945211,283.06981158,978.634842426,499.165578736
76.0,196.472257558,283.466953346,978.288796236,498.349585332
77.0,251.197568061,294.81671197,974.634037059,428.619757028
78.0,250.390728994,329.581584741,986.592014616,406.619700881
79.0,203.38175032,386.670701942,951.328220858,361.275768595
80.0,205.919766854,436.000633403,906.810553582,264.890153326
81.0,193.443777321,443.020750013,895.995480003,259.530952668
82.0,210.452282178,467.622903709,933.695048638,255.619862751
83.0,212.239535942,479.07291434,962.117809004,270.805358722
84.0,218.804683252,479.5223763,973.379675372,275.05261582
85.0,221.347351156,478.796991595,973.583723821,273.43938107
86.0,223.368994237,483.089483706,974.769281505,268.310803561
87.0,225.404296044,486.759655565,971.293776166,259.129824558
88.0,234.33925618,483.841283385,958.286257869,240.105718304
89.0,265.148476407,503.134081625,995.181149022,226.89859099
90.0,254.366953205,518.117178825,1078.49289248,306.008760445
91.0,242.735014031,507.036022543,1123.8001708,374.029134222
92.0,240.57161207,454.476792807,1090.90539132,395.856986445
93.0,258.282302805,397.720618444,1062.06527933,406.062358083
94.0,263.667084872,352.635661224,1040.17865738,423.87591128
95.0,259.183317237,321.512311052,1027.69780437,447.002176079
96.0,201.903270914,297.902975781,1010.91297966,511.106732967
97.0,194.997215056,285.033324111,985.234563898,505.204024731
98.0,189.81055939,277.860333339,960.510026684,492.839133955
99.0,189.994575568,278.822505673,964.745251985,495.928170744
100.0,186.459101213,278.953907783,954.455899196,489.0428902
101.0,214.758094712,287.314955892,963.648242779,461.575192175
102.0,214.71102661,303.108566071,973.490031997,455.670439316
103.0,211.83880671,324.926890732,942.423347531,405.65765009
104.0,233.97265371,357.814250005,867.941380622,276.154476907
105.0,217.686853081,359.878717037,843.511148478,265.94557836
106.0,213.310563753,373.669190329,873.9590191,286.979265018
107.0,235.166731286,383.598521366,916.21099354,297.445740888
108.0,270.483290944,395.630777603,986.495998772,320.381930225
109.0,280.245095443,379.199063627,978.844662121,319.400503052
110.0,290.576548828,370.532637014,978.463900261,317.354714419
111.0,302.024371308,367.602068204,977.747373295,308.120933783
112.0,280.582133576,358.452409193,958.386280385,319.351737616
113.0,279.096673422,349.413025615,950.15920855,321.649509513
114.0,263.347865443,327.616663348,1026.40202377,435.437494984
115.0,229.436804191,310.347427562,1052.12396583,512.339734077
116.0,223.373583847,303.208435813,1052.28625991,525.704240248
117.0,223.610244984,301.166056609,1045.97515709,521.198855497
118.0,216.504008378,294.775496879,1027.35938795,516.079882695
119.0,202.020159587,287.914640143,1007.49797085,517.56317112
120.0,194.30150202,285.273784203,999.943395863,520.36810964
121.0,192.985160113,280.382867931,981.618016689,508.249988645
122.0,192.736128153,276.843812661,970.008140605,500.428199791
123.0,194.460132245,276.648714501,969.621882869,498.513036124
124.0,195.299589453,276.647765412,969.624914232,497.677559367
125.0,201.590296583,282.767089011,978.252103267,493.894717672
126.0,218.87720839,289.662941205,1007.36417007,498.824020475
127.0,229.772828656,311.380376268,1027.38138015,486.228175228
128.0,296.61868635,343.438396442,984.460253444,344.403170653
129.0,282.669376851,351.626283634,995.450476644,361.15481616
130.0,294.095932822,382.093319296,1082.46973992,406.280487802
131.0,287.445318387,402.196852583,1138.85196087,449.2097899
132.0,302.558106384,415.401358867,1178.35910196,460.399636707
133.0,303.592507395,411.443714571,1170.61607006,455.579848098
134.0,307.865259566,404.826011869,1154.45029403,441.759022594
135.0,305.610171703,398.705161832,1137.62520787,433.309874339
136.0,289.151637329,392.960049882,1123.5675993,441.455912092
137.0,275.91794066,389.837421128,1117.68811987,451.932758083
138.0,261.384735337,360.245531757,1185.28436062,563.654093525
139.0,231.444661251,350.331282319,1222.79846668,641.022523109
140.0,220.814450515,334.534662245,1180.88689626,625.537783497
141.0,216.043245634,320.868699162,1133.64237207,596.730427277
142.0,208.461606619,309.404907429,1095.56421229,577.697698245
143.0,210.37698384,298.638469349,1058.7479525,549.732499312
144.0,204.318230791,295.341744743,1051.93695356,552.276978027
145.0,202.995699714,301.247623285,1018.74499025,514.501667253
146.0,230.533526717,290.030734022,995.84777363,475.283512892
147.0,225.560728411,287.973479878,992.107781842,478.573573552
148.0,230.990134704,289.682854113,996.145656522,475.472667705
149.0,294.767666318,302.759691257,997.864513887,400.337156313
150.0,293.215355012,346.228878072,1034.50553223,395.061299149
151.0,243.643281949,418.69530575,1031.4687249,369.130137204
152.0,238.655822539,479.348231829,1002.46272687,284.458672506
153.0,233.131522365,499.835718149,1015.85719873,282.889958213
154.0,238.956311237,538.530155008,1082.35936649,304.872900242
155.0,244.582871848,557.900436424,1128.27019114,325.786882865
156.0,250.000411287,556.356754438,1136.87967277,330.522507049
157.0,250.220899774,549.54518031,1123.75362249,323.98754241
158.0,253.399797929,558.530860406,1133.32038269,321.38972436
159.0,256.092770397,563.772060066,1130.64294031,310.778109845
160.0,267.637975243,567.02038892,1123.11736987,288.459005712
161.0,288.444216843,563.14865348,1103.91548302,252.322612696
162.0,289.167677194,580.475703534,1191.10159508,321.458214347
163.0,275.57094795,564.730641248,1222.7509037,382.449314503
164.0,274.463124153,511.074915607,1188.55076721,403.012727449
165.0,289.987389411,442.031904265,1138.83456743,406.815273753
166.0,267.491358988,387.411412527,1094.36278409,439.460012576
167.0,260.954471911,343.792540421,1063.00381364,458.256801309
168.0,206.99998986,316.678914731,1054.19880649,530.519901895
169.0,204.668819383,302.401966885,1023.32878064,516.257994372
170.0,200.459698143,289.910101595,996.206819226,505.837019488
171.0,198.6285975,284.545261029,981.421961513,498.248102984
172.0,199.571825708,287.428432445,988.998432755,501.998174602
173.0,254.910429755,297.888264001,982.224695408,429.426001652
174.0,253.583488315,339.296682406,1013.91071851,421.030547788
175.0,228.383671224,409.706267721,1008.22347941,370.133540468
176.0,220.330121165,470.297763129,981.05468848,290.426804186
177.0,220.705413424,486.044004281,986.471971648,279.722553942
178.0,232.240637596,519.322071725,1043.34931658,291.786607254
179.0,253.864451519,571.685048313,1156.28368833,330.734188493
180.0,267.397505185,586.6658189,1198.99214529,344.928821204
181.0,269.317042611,586.276779548,1199.04487513,343.451052969
182.0,272.831591379,593.186187079,1204.10037662,338.08259816
183.0,260.389826201,568.605977777,1141.41626971,312.420465729
184.0,260.138417264,548.075642552,1087.91453309,279.700473271
185.0,283.129322239,552.214415058,1086.84171771,251.49798041
