hour_ending,hvac,lighting,total,other
1.0,399.829877972,1553.84001856,4481.56386317,2527.89396665
2.0,406.869982909,1433.45219221,4313.09527811,2472.77310299
3.0,419.791238476,1434.33762383,4309.89684372,2455.76798141
4.0,422.942188806,1488.94329682,4371.06566609,2459.18018047
5.0,446.043519259,1532.61422145,4445.84196451,2467.1842238
6.0,439.838136589,1602.12429195,4518.51730523,2476.5548767
7.0,588.072746354,2161.15980795,4503.64755221,1754.41499791
8.0,635.637491376,2782.14125136,4587.18716966,1169.40842692
9.0,529.66640616,2923.04823427,4544.32828215,1091.61364172
10.0,554.26119979,3047.43949913,4758.25418001,1156.55348109
11.0,598.120989766,3623.41758128,5530.16336133,1308.62479029
12.0,609.325059164,3935.39398436,6003.8934395,1459.17439598
13.0,568.479901912,3909.2742273,5984.58857881,1506.8344496
14.0,558.598650173,3913.84407255,5968.24188898,1495.79916626
15.0,553.113992516,3937.13669593,6032.39788217,1542.14719373
16.0,562.231449547,4010.3989616,6151.69497805,1579.0645669
17.0,576.288921102,3942.55878342,6035.62467362,1516.77696909
18.0,555.553255589,3691.06697524,6367.94150668,2121.32127585
19.0,577.747072348,3586.99285973,6662.71875676,2497.97882468
20.0,567.111488886,3196.28467607,6222.54790174,2459.15173679
21.0,534.456673223,2957.08198699,5736.19070108,2244.65204087
22.0,549.428092682,2420.01704316,5375.13250594,2405.6873701
23.0,461.311142633,2002.96326918,4914.58777046,2450.31335865
24.0,464.077454189,1609.06488525,4475.89279485,2402.75045542
25.0,679.977403868,1549.88054032,4298.24533819,2068.387394
26.0,704.662000159,1466.4170249,4216.3739436,2045.29491854
27.0,844.443625339,1857.24322582,5242.120157,2540.43330584
28.0,869.253064302,2008.18841824,5448.81144427,2571.36996172
29.0,806.014999132,2224.41255259,5449.44394579,2419.01639406
30.0,763.094195095,2547.54843713,5840.95927328,2530.31664106
31.0,810.38070262,3397.9357067,6134.44301258,1926.12660326
32.0,1012.24888552,4233.28919094,6614.998029,1369.45995254
33.0,1007.27666179,4804.3818318,7235.02969015,1423.37119655
34.0,1088.72346114,5448.2543635,8228.6618539,1691.68402926
35.0,1206.68447287,6241.19228353,9296.95979396,1849.08303756
36.0,1225.91566282,6427.01399289,9611.00647666,1958.07682095
37.0,1208.41035821,6427.99901991,9628.41576048,1992.00638236
38.0,1199.29715182,6320.60590244,9451.54836137,1931.64530711
39.0,1228.56020502,6513.91761999,9752.87338824,2010.39556324
40.0,1275.22036106,6705.82774213,9985.11517853,2004.06707534
41.0,1309.77782061,6646.07924858,9797.92080106,1842.06373186
42.0,1294.33912046,6227.81187629,9788.7123284,2266.56133165
43.0,1288.97183,5672.63021302,9495.62715999,2534.02511696
44.0,1290.8659144,4884.035565,8845.64924584,2670.74776644
45.0,1243.45918687,4532.2259347,8223.61312456,2447.92800298
46.0,1293.34011353,3563.97336378,7215.46566251,2358.1521852
47.0,1113.80520267,2698.8312199,6082.52089276,2269.88447019
48.0,770.53980448,1982.82877702,5131.43624744,2378.06766594
49.0,615.099931713,1681.26180085,4605.3364581,2308.97472553
50.0,587.485352791,1525.40705962,4313.14852197,2200.25610956
51.0,674.750286429,1711.68754689,4766.32114651,2379.88331319
52.0,680.808158377,1819.19154077,4852.58605831,2352.58635916
53.0,671.02352471,2134.88488607,5159.3178243,2353.40941353
54.0,629.985938255,2418.94052358,5453.33427631,2404.40781447
55.0,690.709050437,3252.08224468,5797.940523,1855.14922788
56.0,866.575139682,4231.16575292,6487.22756213,1389.48666953
57.0,900.563384369,4816.14611882,7134.57523078,1417.8657276
58.0,1039.08075925,5355.8875655,8010.18846342,1615.22013868
59.0,1177.06810908,6197.74561187,9195.10457335,1820.2908524
60.0,1232.88872199,6430.74921881,9620.92012759,1957.2821868
61.0,1229.31781296,6492.34549335,9706.74277218,1985.07946587
62.0,1265.71943578,6541.79166712,9761.32325269,1953.81214978
63.0,1280.74609235,6651.53453268,9932.95253781,2000.67191277
64.0,1304.34202048,6719.94467225,9990.74904842,1966.4623557
65.0,1325.43445203,6686.04141512,9841.98146948,1830.50560233
66.0,1297.5268507,6236.14025322,9777.60439109,2243.93728717
67.0,1275.78707453,5780.12121495,9626.23191403,2570.32362454
68.0,1271.95725078,5051.95390693,9054.59033543,2730.67917771
69.0,1283.25084763,4621.24902005,8328.73724068,2424.23737301
70.0,1270.77277527,3607.70059628,7215.7068208,2337.23344925
71.0,1135.80429759,2791.48738057,6267.14346959,2339.85179143
72.0,778.609997395,2039.47292916,5264.66459191,2446.58166536
73.0,632.165671342,1741.62297141,4770.6424956,2396.85385285
74.0,621.245441533,1624.70160074,4609.28940141,2363.34235914
75.0,768.235607751,1970.15399951,5499.60638527,2761.21677801
76.0,778.580385049,2083.77495625,5589.97941153,2727.62407023
77.0,693.139311216,2226.17701937,5408.93161174,2489.61528115
78.0,614.576086675,2403.09954904,5448.70165164,2431.02601592
79.0,674.152025839,3161.73501802,5671.83745736,1835.9504135
80.0,853.054335994,3911.43445338,6038.1439407,1273.65515133
81.0,825.780111409,4152.8086069,6196.24752597,1217.65880767
82.0,925.997392503,4605.40542297,6920.66887163,1389.26605616
83.0,1031.40695309,5436.07485411,8077.1526316,1609.6708244
84.0,1131.55549449,5844.73705623,8742.25593738,1765.96338667
85.0,1170.94153934,5778.38684013,8710.06519675,1760.73681728
86.0,1177.93530118,5772.52940798,8670.94349799,1720.47878883
87.0,1169.04727731,5787.17856972,8690.44337937,1734.21753234
88.0,1215.54758125,5856.80434579,8778.93806256,1706.58613552
89.0,1219.01734346,5805.38984977,8607.67980406,1583.27261083
90.0,1230.93788921,5770.99693126,9075.40276397,2073.4679435
91.0,1166.87329175,5206.15209693,8677.72138462,2304.69599595
92.0,1146.06479767,4447.35756028,7961.44629308,2368.02393514
93.0,1125.19290778,4132.83749665,7401.46120673,2143.43080229
94.0,1208.83805954,3229.13845295,6472.32008776,2034.34357527
95.0,1016.01010639,2441.45434153,5492.96951987,2035.50507196
96.0,768.128101786,1928.89531689,5010.97260114,2313.94918246
97.0,632.747363947,1709.60303062,4713.37895472,2371.02856015
98.0,621.133155867,1566.43813661,4467.4352907,2279.86399822
99.0,656.833220012,1614.12954489,4569.61641794,2298.65365305
100.0,714.411608027,1831.40298018,5035.08614288,2489.27155467
101.0,707.87064703,1968.52546669,5046.20951721,2369.8134035
102.0,638.718481422,2354.61255402,5403.379821,2410.04878556
103.0,765.810272701,3073.11401235,5525.578943,1686.65465795
104.0,852.689686604,3549.11729253,5546.8260208,1145.01904167
105.0,844.716709928,3673.842013,5613.42529541,1094.86657248
106.0,822.532595039,3857.73701125,5839.86560415,1159.59599785
107.0,856.000277893,4504.70944959,6650.2675275,1289.55780002
108.0,1037.03626567,4973.44703029,7469.23826614,1458.75497018
109.0,1185.62746707,5102.98803433,7792.37199476,1503.75649336
110.0,1190.48616926,5204.32817179,7869.55959471,1474.74525365
111.0,1222.27939778,5337.03363889,7994.70022317,1435.38718649
112.0,1269.66615179,5497.73031987,8122.71646667,1355.31999501
113.0,1341.32487233,5574.69697281,8101.22643951,1185.20459437
114.0,1304.49171884,5213.68821919,8251.70752782,1733.5275898
115.0,1210.59545939,4613.10447724,7947.91356611,2124.21362948
116.0,1093.62224419,3946.9486497,7206.96345659,2166.3925627
117.0,1074.13124361,3423.47003351,6480.96334556,1983.36206844
118.0,973.462299687,2523.59897071,5305.62015188,1808.55888148
119.0,735.402260746,2075.00505904,4804.89798038,1994.49066059
120.0,787.768500376,1655.86312436,4409.76706795,1966.13544322
121.0,569.717167818,1554.86770909,4287.86879811,2163.2839212
122.0,589.581995777,1455.64570401,4168.33188412,2123.10418433
123.0,674.514712678,1672.04901611,4723.86455736,2377.30082857
124.0,685.937569243,1753.72152196,4874.19961527,2434.54052407
125.0,733.163860848,1974.06868481,5273.66999747,2566.43745181
126.0,701.949135267,2136.27574805,5431.37823346,2593.15335014
127.0,815.885563958,2957.11863714,5621.91723919,1848.91303809
128.0,1070.71281455,4056.73960215,6308.91093099,1181.45851428
