hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,1048.44012,30306.8664072,70716.0216168,102071.328144
2.0,0.0,806.4924,26591.164265,62046.0499517,89443.7066167
3.0,0.0,1016.180424,23703.9514095,55309.2199555,80029.351789
4.0,0.0,1161.349056,22531.2113742,52572.8265399,76265.3869701
5.0,0.0,1145.219208,22734.4876284,53047.1377996,76926.844636
6.0,0.0,1532.33556,23262.2665725,54278.6220025,79073.224135
7.0,0.0,2822.7234,24811.5411909,57893.5961121,85527.860703
8.0,0.0,3693.735192,26859.1402558,62671.3272635,93224.2027113
9.0,0.0,4516.35744,30073.5687513,70171.6604197,104761.586611
10.0,0.0,6209.99148,31649.0391909,73847.7581121,111706.788783
11.0,0.0,7484.249472,31959.5666895,74572.3222755,114016.138437
12.0,0.0,8097.183696,32231.9491749,75207.8814081,115537.014279
13.0,0.731029539429,7532.639016,31377.1329948,73213.3103212,112123.813362
14.0,0.731029539429,7242.301752,29391.7148322,68580.6679418,105215.415556
15.0,41.6708766212,6548.718288,28414.9114668,66301.4600892,101306.760721
16.0,30.6642797456,5468.018472,29199.3721377,68131.8683213,102829.923211
17.0,0.0,4548.617136,33589.6504491,78375.8510479,116514.118633
18.0,0.0,3177.580056,45480.7570248,106121.766391,154780.103472
19.0,0.0,2419.4772,48421.1072118,112982.583494,163823.167906
20.0,0.0,2209.789176,47037.7638615,109754.782344,159002.335381
21.0,0.0,1774.28328,44531.8240389,103907.589424,150213.696743
22.0,0.0,1274.257992,39868.7522568,93027.0885992,134170.098848
23.0,0.0,887.14164,33915.9687363,79137.2603847,113940.370761
24.0,0.0,983.920728,27959.2328526,65238.2099894,94181.36357
25.0,0.0,1048.44012,23710.081533,55323.5235771,80082.0452301
26.0,0.0,806.4924,21454.5456386,50060.6064901,72321.6445287
27.0,0.0,1016.180424,20412.3471274,47628.809964,69057.3375155
28.0,0.0,1161.349056,20174.0787751,47072.8504752,68408.2783063
29.0,0.0,1145.219208,21037.2008959,49086.8020903,71269.2221942
30.0,0.0,1532.33556,23574.087759,55006.204771,80112.62809
31.0,0.0,2822.7234,26823.8107164,62588.8916716,92235.425788
32.0,0.0,3693.735192,28777.9254176,67148.4926412,99620.1532508
33.0,0.0,4516.35744,29288.6844489,68340.2637141,102145.305603
34.0,0.0,6209.99148,29400.1516803,68600.3539207,104210.497081
35.0,0.0,7484.249472,28660.847301,66875.310369,103020.407142
36.0,0.0,8097.183696,27464.5497646,64083.9494507,99645.6829113
37.0,0.731029539429,7532.639016,26814.8543828,62567.9935599,96916.2179882
38.0,0.0,7242.301752,25321.4136995,59083.2986321,91647.0140835
39.0,0.731029539429,6548.718288,24824.6957881,57924.2901723,89298.435278
40.0,0.0,5468.018472,26118.2491025,60942.5812391,92528.8488136
41.0,0.0,4548.617136,29704.3390908,69310.1245452,103563.080772
42.0,0.0,3177.580056,42536.8307652,99252.6051188,144967.01594
43.0,0.0,2419.4772,47198.797653,110130.527857,159748.80271
44.0,0.0,2209.789176,45521.7011403,106217.302661,153948.792977
45.0,0.0,1774.28328,43652.480784,101855.788496,147282.55256
46.0,0.0,1274.257992,39596.6082852,92392.0859988,133262.952276
47.0,0.0,887.14164,33658.5147825,78536.5344925,113082.190915
48.0,0.0,983.920728,27779.7651916,64819.4521137,93583.1380333
49.0,0.0,1048.44012,23521.6869832,54883.9362941,79454.0633973
50.0,0.0,806.4924,21497.5062911,50160.8480127,72464.8467038
51.0,0.0,1016.180424,19989.5597533,46642.3060911,67648.0462685
52.0,0.0,1161.349056,19534.6903621,45580.9441782,66276.9835963
53.0,0.0,1145.219208,20236.1985995,47217.7967323,68599.2145398
54.0,0.0,1532.33556,22653.9982859,52859.3293337,77045.6631796
55.0,0.0,2822.7234,26037.9965295,60755.3252356,89616.0451651
56.0,0.0,3693.735192,28524.9969006,66558.3261013,98777.0581939
57.0,0.0,4516.35744,29801.2366494,69536.2188486,103853.812938
58.0,0.0,6209.99148,29690.4549831,69277.7282939,105178.174757
59.0,0.0,7484.249472,28852.0736625,67321.5052125,103657.828347
60.0,0.731029539429,8097.183696,28557.1031289,66633.2406341,103288.258489
61.0,38.8883620642,7532.639016,27787.2412425,64836.8962325,100195.664853
62.0,375.637426884,7242.301752,26274.214012,61306.4993614,95198.6525523
63.0,29.9332502062,6548.718288,25619.7764662,59779.4784212,91977.9064257
64.0,0.0,5468.018472,25690.43936,59944.3585067,91102.8163387
65.0,0.0,4548.617136,30439.1509644,71024.6855836,106012.453684
66.0,0.0,3177.580056,42283.4077032,98661.2846408,144122.2724
67.0,0.0,2419.4772,45520.6424658,106214.83242,154154.952086
68.0,0.0,2209.789176,44482.9724355,103793.602349,150486.363961
69.0,0.0,1774.28328,42650.8245213,99518.5905497,143943.698351
70.0,0.0,1274.257992,38866.181868,90687.757692,130828.197552
71.0,0.0,887.14164,33780.9162108,78822.1378252,113490.195676
72.0,0.0,983.920728,28337.4579056,66120.7351131,95442.1137467
73.0,0.0,1048.44012,24026.9825111,56062.9591925,81138.3818235
74.0,0.0,806.4924,21408.9788305,49954.2839378,72169.7551683
75.0,0.0,1016.180424,19998.6045713,46663.4106665,67678.1956618
76.0,0.0,1161.349056,19311.9137957,45061.1321901,65534.3950418
77.0,0.0,1145.219208,19605.1706097,45745.3980893,66495.787907
78.0,0.0,1532.33556,20786.9692418,48502.9282308,70822.2330326
79.0,0.0,2822.7234,23003.0912791,53673.8796511,79499.6943302
80.0,0.0,3693.735192,26802.9444627,62540.2037464,93036.8834011
81.0,0.0,4516.35744,29110.5384633,67924.5897477,101551.485651
82.0,0.0,6209.99148,30393.7516032,70918.7537408,107522.496824
83.0,29.9332502062,7484.249472,30338.8519578,70790.6545682,108643.689248
84.0,457.156075508,8097.183696,29948.0337807,69878.7454883,108381.119041
85.0,1284.9642345,7532.639016,29577.1833474,69013.4278106,107408.214409
86.0,1293.18831682,7242.301752,28786.1082195,67167.5858455,104489.184134
