hour_ending,total
1.0,810.804373731
2.0,818.579459812
3.0,1078.69182372
4.0,1058.87835333
5.0,891.288724623
6.0,823.546993908
7.0,920.289086861
8.0,907.913287211
9.0,840.064847546
10.0,788.313953483
11.0,793.145769274
12.0,797.223033031
13.0,783.929062096
14.0,776.706548411
15.0,759.386152471
16.0,755.532635539
17.0,750.21006791
18.0,842.467453444
19.0,971.01016682
20.0,982.036682071
21.0,976.591516269
22.0,945.816207856
23.0,877.387843753
24.0,803.490051326
25.0,729.405308912
26.0,734.85396404
27.0,1004.90001247
28.0,997.252194795
29.0,834.955146953
30.0,780.270896027
31.0,871.514224138
32.0,915.390403457
33.0,847.336201939
34.0,836.177081929
35.0,845.961090231
36.0,876.45873901
37.0,854.777278632
38.0,846.621260631
39.0,838.052961224
40.0,839.404210949
41.0,858.460911918
42.0,962.796145442
43.0,1057.55697047
44.0,1003.54227919
45.0,971.642875002
46.0,927.528290068
47.0,853.123866149
48.0,772.990492385
49.0,681.92366655
50.0,693.555649094
51.0,785.677795214
52.0,684.760737548
53.0,680.232730313
54.0,698.340547503
55.0,809.906052353
56.0,858.30125878
57.0,807.70865118
58.0,837.554259444
59.0,838.339354244
60.0,867.149282807
61.0,866.143968629
62.0,849.79203871
63.0,851.507432254
64.0,847.483626908
65.0,840.992540584
66.0,912.88235763
67.0,999.371286271
68.0,985.243162028
69.0,945.220464147
70.0,874.94788897
71.0,828.167169453
72.0,759.115074818
73.0,696.638430057
74.0,923.839819642
75.0,889.32284946
76.0,838.586163627
77.0,747.946787333
78.0,679.370017623
79.0,729.595190452
80.0,762.31115917
81.0,728.447564411
82.0,747.314613393
83.0,780.139325335
84.0,786.303560828
85.0,790.114579194
86.0,800.790507325
87.0,784.491246564
88.0,809.768693677
89.0,840.179881343
90.0,859.536195829
91.0,887.038290534
92.0,882.619789389
93.0,822.189666574
94.0,773.669191344
95.0,736.057470659
96.0,669.357235328
97.0,668.127266277
98.0,939.872489135
99.0,927.291502425
100.0,882.446246481
101.0,815.398275677
102.0,743.175024821
103.0,763.719494875
104.0,752.088671794
105.0,718.824334185
106.0,724.775116643
107.0,768.595445144
108.0,771.038535953
109.0,755.668587347
110.0,707.073482758
111.0,705.031168485
112.0,695.287625425
113.0,686.36959908
114.0,718.097621216
115.0,812.362942951
116.0,819.142527316
117.0,759.274872737
118.0,731.19330035
119.0,686.474900104
120.0,634.821547306
121.0,660.595857216
122.0,938.301710888
123.0,942.323331431
124.0,894.729559989
125.0,815.389278736
126.0,751.275530478
127.0,921.663375755
128.0,1064.7263811
129.0,1141.30558333
130.0,1187.17926952
131.0,1240.8150328
132.0,1265.75575399
133.0,1273.97063359
134.0,1251.82073926
135.0,1290.06030204
136.0,1242.67029379
137.0,1169.76456647
138.0,1184.96039967
139.0,1295.2218764
140.0,1233.23452588
141.0,1147.45247454
142.0,1026.65018253
143.0,925.980049013
144.0,817.433059019
145.0,731.308502705
146.0,704.146731925
147.0,714.097816066
148.0,726.862925368
149.0,734.054815336
150.0,808.534980315
151.0,1083.69889642
152.0,1114.70305118
153.0,1174.28017835
154.0,1267.87101538
155.0,1290.20890984
156.0,1323.06903828
157.0,1293.24704026
158.0,1283.70369737
159.0,1267.29695574
160.0,1234.87398982
161.0,1180.20392974
162.0,1212.85994371
163.0,1313.57220564
164.0,1281.51715398
165.0,1198.15922788
166.0,1053.6577334
167.0,919.265949449
168.0,818.525855003
169.0,732.39797978
170.0,696.008164398
171.0,716.599534381
172.0,710.599176492
173.0,699.086027778
174.0,730.560066869
175.0,959.574460653
176.0,1139.80090095
177.0,1162.01269446
178.0,1249.52102141
179.0,1265.30480955
180.0,1267.44920471
181.0,1288.02427844
182.0,1287.3018079
183.0,1304.90638323
184.0,1259.40309261
185.0,1193.84808334
186.0,1277.40960118
187.0,1349.70996138
188.0,1294.35334315
189.0,1199.34795527
190.0,1075.04745365
191.0,930.705063822
192.0,860.593450282
193.0,789.491800713
194.0,1025.24229491
195.0,1021.73070034
196.0,951.1397826
197.0,855.567472079
198.0,793.293383667
199.0,960.753623181
200.0,1119.28176247
201.0,1140.24316704
202.0,1254.75947435
203.0,1300.40801315
204.0,1311.83718873
205.0,1294.64276011
206.0,1304.76941906
207.0,1313.29829075
208.0,1284.38648487
209.0,1211.60927838
210.0,1271.79318391
211.0,1380.0138715
212.0,1346.13345465
213.0,1237.20252854
214.0,1112.68549307
215.0,992.102477684
216.0,867.242897544
217.0,783.35678349
218.0,781.951789232
219.0,741.162762978
220.0,736.915896592
221.0,718.003986819
222.0,742.370140966
223.0,990.415543999
224.0,1170.6177055
225.0,1216.57369019
226.0,1297.69171037
227.0,1292.38044992
228.0,1325.92428407
229.0,1308.87633362
230.0,1323.34606764
231.0,1354.51789647
232.0,1324.67910856
233.0,1238.72832622
234.0,1293.94608673
235.0,1426.07013954
236.0,1333.94482961
237.0,1188.83829718
238.0,1093.84424888
239.0,985.66211923
240.0,896.056086399
241.0,796.48659837
242.0,1018.06741473
243.0,953.933525387
244.0,849.150994723
245.0,803.461792258
246.0,770.006065971
247.0,808.123152781
248.0,849.125236187
249.0,819.476647131
250.0,813.551823348
251.0,857.803158522
252.0,855.465676042
253.0,854.381008407
254.0,830.285976582
255.0,826.728410949
256.0,818.8146129
257.0,877.410220128
258.0,961.100626507
259.0,1038.16613524
260.0,972.259899638
261.0,931.531327274
262.0,851.656155924
263.0,784.047125991
264.0,719.39563084
265.0,674.052586725
266.0,667.434069983
267.0,639.672231538
268.0,643.237863665
269.0,664.316380716
270.0,674.533120031
271.0,718.74857748
272.0,779.598565855
273.0,750.581374914
274.0,766.103160211
275.0,796.281442234
276.0,819.089405797
277.0,823.825276453
278.0,780.876689571
279.0,761.705928053
280.0,744.819174302
281.0,733.476993051
