hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,1047.51192,16111.4384641,37593.3564162,54752.3068003
2.0,0.0,805.7784,14468.9676197,33760.9244461,49035.6704658
3.0,0.0,1015.280784,12943.5153274,30201.535764,44160.3318754
4.0,0.0,1160.320896,12156.8747608,28366.0411084,41683.2367652
5.0,0.0,1144.205328,11989.9026275,27976.4394641,41110.5474195
6.0,0.0,1530.97896,12311.5932452,28727.0509055,42569.6231107
7.0,0.0,2820.2244,13058.4880897,30469.8055425,46348.5180322
8.0,0.0,3690.465072,14060.0676813,32806.8245897,50557.357343
9.0,0.0,4512.35904,15461.0498101,36075.7828901,56049.1917402
10.0,0.0,6204.49368,15694.8711687,36621.3660604,58520.7309091
11.0,0.0,7477.623552,15356.1818726,35831.091036,58664.8964606
12.0,0.0,8090.015136,14704.8395705,34311.2923312,57106.1470377
13.0,0.302691107252,7525.970256,14570.6140387,33998.0994237,56094.9864095
14.0,0.302691107252,7235.890032,13681.4412458,31923.362907,52840.9968759
15.0,10.981093402,6542.920608,13736.6579827,32052.2019597,52342.7616438
16.0,7.25862376677,5463.177552,14318.0348904,33408.7480775,53197.2191437
17.0,0.0,4544.590176,16642.1966543,38831.7921935,60018.5790238
18.0,0.0,3174.766896,23121.230568,53949.5379919,80245.5354559
19.0,0.0,2417.3352,24918.1909314,58142.4455067,85477.9716381
20.0,0.0,2207.832816,24324.0345031,56756.0805073,83287.9478264
21.0,0.0,1772.71248,23275.0269892,54308.396308,79356.1357772
22.0,0.0,1273.129872,21534.3667,50246.8556334,73054.3522054
23.0,0.0,886.35624,18103.6381166,42241.8222722,61231.8166288
24.0,0.0,983.049648,14709.6528081,34322.523219,50015.2256751
25.0,0.0,1047.51192,12656.39082,29531.5785801,43235.4813201
26.0,0.0,805.7784,11675.568491,27242.9931458,39724.3400368
27.0,0.0,1015.280784,11127.3635554,25963.8482958,38106.4926352
28.0,0.0,1160.320896,10953.8424927,25558.9658162,37673.1292049
29.0,0.0,1144.205328,11286.7768726,26335.8127026,38766.7949032
30.0,0.0,1530.97896,12870.6705345,30031.5645804,44433.2140749
31.0,0.0,2820.2244,14789.313423,34508.397987,52117.93581
32.0,0.0,3690.465072,14931.9231031,34841.1539073,53463.5420824
33.0,0.0,4512.35904,14794.0804124,34519.5209622,53825.9604146
34.0,0.0,6204.49368,13442.4025418,31365.6059308,51012.5021526
35.0,0.0,7477.623552,11949.2578438,27881.6016355,47308.4830313
