hour_ending,hvac,lighting,total,other
1.0,15693.6396797,19427.052928,68043.9295613,32923.2369536
2.0,15288.2508033,19104.5392046,67218.9195282,32826.1295203
3.0,15821.9980937,18978.9542183,67030.9612189,32230.0089069
4.0,16302.7460827,18820.1365724,66488.9277163,31366.0450612
5.0,16881.0110579,19221.7543719,67093.7298911,30990.9644613
6.0,18405.4515064,19379.8408846,67836.0679541,30050.7755631
7.0,18712.3107413,20925.6041137,69963.6887053,30325.7738502
8.0,23222.8199449,23579.4150125,68205.4220076,21403.1870502
9.0,18652.4590923,21635.8235111,61584.4486328,21296.1660293
10.0,16976.2092052,21713.1704913,60886.3500898,22196.9703932
11.0,15560.6700979,21679.5467796,60501.3926889,23261.1758113
12.0,13994.0484272,21799.4503989,60610.0786126,24816.5797866
13.0,13249.9828137,21634.970534,60058.2740044,25173.3206567
14.0,13222.6696529,21495.5256393,59524.7890874,24806.5937951
15.0,13647.6981861,21706.7264523,60103.4086296,24748.9839912
16.0,12758.4623239,21829.9245452,60839.7780479,26251.3911788
17.0,12742.4991893,21712.2174794,61227.853851,26773.1371824
18.0,14282.3453289,20694.7470447,67662.9393458,32685.8469722
19.0,14219.4821366,22005.8511952,76131.1682194,39905.8348875
20.0,13926.4629312,21222.3026307,74565.4751917,39416.7096297
21.0,15129.2497657,20800.0746558,73242.9866122,37313.6621907
22.0,15035.0029813,20412.1019346,72130.5742087,36683.4692928
23.0,14380.0312586,19935.4137919,70466.9354337,36151.4903833
24.0,14689.3887905,19265.8032471,68401.4311249,34446.2390873
25.0,18451.5373063,19383.4827285,66521.0286455,28686.0086107
26.0,18759.5628498,18688.3285959,65272.5731579,27824.6817122
27.0,18721.6278345,18492.4112095,65004.2457669,27790.2067228
28.0,20349.5932784,18714.8233173,65964.6023827,26900.1857871
29.0,23319.4647709,19681.247914,66293.1186815,23292.4059966
30.0,23207.3738365,22193.609673,68203.9803976,22802.996888
31.0,19961.3555062,28511.9680239,71884.87397,23411.5504399
32.0,19845.1607812,34678.1858625,74270.4384165,19747.0917728
