hour_ending,total
1.0,6164.54593252
2.0,6137.42582123
3.0,6644.80934978
4.0,6576.36319785
5.0,6214.77914618
6.0,6105.58376753
7.0,6273.19866798
8.0,6354.27569098
9.0,6418.73050839
10.0,6632.49134839
11.0,6743.07670631
12.0,6829.19402467
13.0,6898.61418066
14.0,6999.26678806
15.0,6992.28690429
16.0,6868.89901015
17.0,6739.74513792
18.0,6818.58666349
19.0,7137.29958558
20.0,7023.32144041
21.0,6980.37202813
22.0,6745.48539605
23.0,6412.67498532
24.0,6173.84138179
25.0,6085.8482421
26.0,6051.63923792
27.0,6572.34813341
28.0,6558.81904279
29.0,6216.07427793
30.0,6220.65337066
31.0,6652.18523597
32.0,7357.32144827
33.0,7784.13690884
34.0,8210.28518482
35.0,8658.67207778
36.0,8784.15613668
37.0,8993.21922114
38.0,8757.41833509
39.0,8615.66255146
40.0,8502.74428195
41.0,8249.93115291
42.0,8235.48514159
43.0,8138.65780034
44.0,7811.10850936
45.0,7563.2261677
46.0,7109.25100205
47.0,6580.41969011
48.0,6211.42209045
49.0,6081.95350724
50.0,6151.27399961
51.0,6312.28502371
52.0,6042.45240084
53.0,5991.57330994
54.0,6112.92860626
55.0,6496.63401031
56.0,6964.63749375
57.0,7560.60016047
58.0,8449.34240675
59.0,8757.80025616
60.0,8851.69658432
61.0,8853.81065163
62.0,8749.82350613
63.0,8687.09623537
64.0,8482.48876823
65.0,8119.34155329
66.0,8100.79133448
67.0,8113.16661305
68.0,7805.42553891
69.0,7419.62057496
70.0,7006.69059188
71.0,6668.39877029
72.0,6330.22060783
73.0,6160.84062393
74.0,6614.44576994
75.0,6586.20511261
76.0,6456.06546668
77.0,6225.43531421
78.0,6068.8772471
79.0,6191.5086062
80.0,6373.9708695
81.0,6600.06802729
82.0,7184.99892677
83.0,7635.54185715
84.0,7831.44536682
85.0,7947.05419179
86.0,7837.49135994
87.0,7610.05880202
88.0,7657.85590596
89.0,7547.77362573
90.0,7619.7154157
91.0,7721.83646809
92.0,7347.94951516
93.0,6961.58370032
94.0,6778.897346
95.0,6503.32021692
96.0,6186.61382928
97.0,6084.11695199
98.0,6605.44933881
99.0,6601.38763611
100.0,6482.5911216
101.0,6284.54274748
102.0,6126.08072579
103.0,6218.26367494
104.0,6335.98716144
105.0,6717.30282974
106.0,7374.80996824
107.0,7667.02628455
108.0,7913.80223853
109.0,7984.98689065
110.0,7783.8639515
111.0,7641.53696805
112.0,7540.82816761
113.0,7240.3238146
114.0,7220.07406322
115.0,7343.98533631
116.0,7135.79860701
117.0,6948.45271588
118.0,6700.45375819
119.0,6481.85646153
120.0,6214.14921992
121.0,6188.92523087
122.0,6747.98079828
123.0,6727.05473864
124.0,6663.25316442
125.0,6492.45757203
126.0,6438.50740764
127.0,6789.49086434
128.0,7389.75006891
129.0,8034.08411699
130.0,8675.88797159
131.0,9122.11014161
132.0,9178.85258299
133.0,9161.24992194
134.0,9039.38921762
135.0,9050.33583893
136.0,8803.42036653
137.0,8401.70633144
138.0,8445.6635406
139.0,8483.6234011
140.0,8057.86152761
141.0,7576.48486815
142.0,7169.79630133
143.0,6718.91711073
144.0,6397.70613898
145.0,5449.95528839
146.0,5929.87935225
147.0,6121.47418684
148.0,6112.94471958
149.0,6096.37836125
150.0,6338.00662839
151.0,6954.07244251
152.0,7350.79526611
153.0,8129.69875279
154.0,8708.69361704
155.0,9159.43389843
156.0,9251.79071487
157.0,9136.86949285
158.0,9117.54663982
159.0,9037.11395444
160.0,8831.11199457
161.0,8476.79710002
162.0,8531.31195498
163.0,8603.15826762
164.0,8184.60952332
165.0,7744.63246133
166.0,7295.08424435
167.0,6787.92833232
168.0,6361.41183833
169.0,5877.37178706
170.0,5927.32080641
171.0,5859.80339488
172.0,6010.2216891
173.0,5940.41603277
174.0,6050.72597958
175.0,6458.13013595
176.0,7074.47252749
177.0,7669.38187287
178.0,8366.76586165
179.0,8870.70945105
180.0,9187.36577851
181.0,9270.58580665
182.0,9021.73304968
183.0,8676.95012773
184.0,8786.76381219
185.0,8516.95620085
186.0,8488.30200903
187.0,8380.25921668
188.0,8099.50643626
189.0,7764.01999581
190.0,7228.9909634
191.0,6635.97737838
192.0,6405.36896508
193.0,6310.82563862
194.0,6929.21538447
195.0,6821.62932646
196.0,6641.61128337
197.0,6376.09473971
198.0,6395.9904925
199.0,6722.43225999
200.0,7370.41498301
201.0,7905.51708718
202.0,8735.35417963
203.0,9117.96748878
204.0,9135.34547048
205.0,8947.87059689
206.0,8918.42914199
207.0,8914.46840693
208.0,8680.68155757
209.0,8409.77873826
210.0,8405.92019299
211.0,8326.43065663
212.0,8211.53502506
213.0,7837.27151764
214.0,7344.04708551
215.0,6745.3762648
216.0,6355.2244452
217.0,6124.66171372
218.0,6199.77680165
219.0,6018.17577232
220.0,6042.68255897
221.0,5976.18296997
222.0,6081.69602178
223.0,6587.28979218
224.0,7230.18578129
225.0,8100.05859755
226.0,8731.46212626
227.0,9153.14055998
228.0,9253.85181539
229.0,9197.54200825
230.0,9216.58855991
231.0,9276.01554291
232.0,8985.92338385
233.0,8589.21583395
234.0,8650.94149928
235.0,8711.20245971
236.0,8243.5613897
237.0,7824.86085933
238.0,7408.85981108
239.0,7045.57110615
240.0,6562.29404617
241.0,6227.94110204
242.0,6771.28798249
243.0,6647.72037876
244.0,6426.55397893
245.0,6292.80981695
246.0,6192.11055742
247.0,6364.5528965
248.0,6523.80710799
249.0,6818.38698056
250.0,7326.30821215
251.0,7865.40089896
252.0,8152.00438745
253.0,8239.62457033
254.0,8192.51294283
255.0,7997.79904591
256.0,7889.83614775
257.0,7724.32339651
258.0,8095.9213791
259.0,8190.07842215
260.0,7980.23298986
261.0,7616.28610545
262.0,7262.41284751
263.0,6913.49807645
264.0,6397.14334439
265.0,6116.37418496
266.0,6038.19481228
267.0,5935.50801013
268.0,5939.23995291
269.0,5953.05253039
270.0,6052.45240018
271.0,6217.50744938
272.0,6369.13959091
273.0,6634.92506746
274.0,7070.06394959
275.0,7552.25299506
276.0,7626.03393235
277.0,7811.72066135
278.0,7740.43975752
279.0,7463.41376295
280.0,7301.03235939
281.0,7202.71048157
282.0,7483.71911912
283.0,7853.3482687
284.0,7571.28798275
285.0,7264.65741124
286.0,6846.34837944
287.0,6368.11775006
288.0,6217.46260445
289.0,6250.75789769
290.0,6668.36961553
291.0,6739.22450074
292.0,6708.11129635
293.0,6509.89152274
294.0,6485.66208324
295.0,6885.25983897
296.0,7411.66511558
297.0,8078.51564602
298.0,8854.71544258
299.0,9310.26414925
300.0,9636.0380536
301.0,9645.42666153
302.0,9580.98920262
303.0,9623.50707984
304.0,9298.43809902
305.0,8842.28477414
306.0,8649.51673025
307.0,8583.61290278
308.0,8430.26249053
309.0,8048.5468082
310.0,7567.94213826
311.0,7094.57238272
312.0,7232.6519446
313.0,6989.51738288
314.0,6914.98805389
315.0,6902.32529334
316.0,6781.48884649
317.0,6637.5204537
318.0,6657.93313147
319.0,6934.7308768
320.0,7550.54496867
321.0,8165.96897663
322.0,8987.59841082
323.0,9421.1531526
324.0,9908.73144441
325.0,10196.1969475
326.0,10129.2484601
327.0,10159.4362458
328.0,9876.41963173
329.0,9228.85533609
330.0,9087.52122998
331.0,9331.42694003
332.0,8900.40378986
333.0,8261.80914549
334.0,7608.25468961
335.0,7125.38736483
336.0,7082.37730234
337.0,6576.04333139
338.0,6376.34657462
339.0,6196.44842943
340.0,6279.48467562
341.0,6367.39168459
342.0,6499.18439847
343.0,6991.20487621
344.0,7505.91741889
345.0,8245.14575201
346.0,9218.99826255
347.0,9746.70855871
348.0,10187.0628835
349.0,10303.7015769
350.0,10338.7673826
351.0,10258.925008
352.0,9912.73986309
353.0,9469.05769811
354.0,9147.85629532
355.0,9203.55350314
356.0,8845.77729792
357.0,8861.54507663
358.0,7798.4173823
359.0,7237.21478923
360.0,7319.63108576
361.0,7071.74045593
362.0,7012.89858605
363.0,6818.08498309
364.0,6707.2077428
365.0,6508.27417183
366.0,6518.05999501
367.0,6924.24996039
368.0,7356.57507219
369.0,8229.06533621
370.0,8984.82015607
371.0,9543.50347279
372.0,9938.44343303
373.0,10084.2671565
374.0,10157.2350779
375.0,10076.3718308
376.0,9750.30676853
377.0,9298.47317169
378.0,9019.82380373
379.0,9078.56554157
380.0,8789.56545417
381.0,8455.86724522
382.0,7883.87968393
383.0,7257.6735441
384.0,7336.36401821
385.0,7067.63677744
386.0,6607.9128336
387.0,6304.44194225
388.0,6422.19100373
389.0,6426.03560284
390.0,6447.97816903
391.0,6986.55040633
392.0,7634.15453693
393.0,8291.5473733
394.0,9233.97691248
395.0,9640.14961021
396.0,10153.551681
397.0,10101.5543384
398.0,10252.4389353
399.0,10267.9056871
400.0,9837.3944
401.0,9207.58997891
402.0,8826.76865237
403.0,8880.96142831
404.0,8714.84247366
405.0,8360.79125055
406.0,7596.47556936
407.0,7226.2944683
408.0,7361.57031406
409.0,7063.80403585
410.0,7006.21118078
411.0,6834.82579951
412.0,6708.62480408
413.0,6411.53049279
414.0,6246.72730319
415.0,6415.82129347
416.0,6534.81587677
417.0,6928.94699599
418.0,7808.37353658
419.0,8286.36200026
420.0,8475.06131475
421.0,8750.13898235
422.0,8665.03324256
423.0,8530.86533816
424.0,8427.37864938
425.0,8152.23678093
426.0,7984.61011862
427.0,8019.60681492
428.0,7700.18660498
429.0,7363.00158432
430.0,7024.27401019
431.0,6871.48764584
432.0,7137.46639737
433.0,6839.73616502
434.0,6450.02509037
435.0,6124.54788723
436.0,6181.12988624
437.0,6184.35558836
438.0,6156.36762278
439.0,6330.39434176
440.0,6584.44839369
441.0,6839.64953308
442.0,7205.68001888
443.0,7592.94452697
444.0,7901.21978667
445.0,8196.95636048
446.0,7854.94303455
447.0,7616.12900046
448.0,7541.37165384
449.0,7356.63696863
450.0,7369.6874796
451.0,7449.28381284
452.0,7241.85406164
453.0,7044.06162522
454.0,6789.01947168
455.0,6625.31028228
456.0,6940.74737759
457.0,6684.81600728
458.0,6336.04133559
459.0,6057.53639131
460.0,6083.46095421
461.0,6064.93614155
462.0,6204.88911661
463.0,6512.7212613
464.0,6879.44472724
465.0,7327.79501403
466.0,7968.88644038
467.0,8519.00280986
468.0,8818.47885037
469.0,9078.36865131
470.0,8915.27717091
471.0,8886.38963489
472.0,8762.47139664
473.0,8439.32114065
474.0,8102.43877542
475.0,8163.49616846
476.0,8034.91628672
477.0,7770.56561318
478.0,7263.88193819
479.0,6859.94802205
480.0,6511.98376275
481.0,6193.22695493
482.0,5991.57458138
483.0,6045.90618809
484.0,6206.24952082
485.0,6110.53108685
486.0,6283.08932127
487.0,6829.18855998
488.0,7423.05257278
489.0,8171.68805544
490.0,8834.37599773
491.0,9347.21643503
492.0,9720.39636318
493.0,9619.84210366
494.0,9553.73174334
495.0,9365.81052145
496.0,9139.93223731
497.0,8819.54049264
498.0,8881.04164214
499.0,9008.19702109
500.0,8588.90203399
501.0,8055.27369688
502.0,7399.81274561
503.0,6879.2715991
504.0,7124.47067267
505.0,6902.77397473
506.0,6665.72682762
507.0,6428.49075803
508.0,6195.33651343
509.0,6059.44364275
510.0,6171.48725625
511.0,6682.79135101
512.0,7284.66488011
513.0,7875.52770422
514.0,8551.96647176
515.0,9026.38399724
516.0,9299.06694529
517.0,9614.91861839
518.0,9378.57718417
519.0,9246.7371152
520.0,8897.03011484
521.0,8782.84095674
522.0,8558.10377317
523.0,8608.83059445
524.0,8213.98731877
525.0,7848.48256862
526.0,7296.79096961
527.0,6702.71322542
528.0,6311.26785164
529.0,6022.75613746
530.0,5968.39345241
531.0,5939.0350881
532.0,5897.70691221
533.0,5898.30029408
534.0,6010.11425725
535.0,6421.06617137
536.0,6943.81987241
537.0,7597.94513068
538.0,8297.86815092
539.0,9147.29109611
540.0,9277.38418936
541.0,9312.40439171
542.0,9229.36910902
543.0,9143.26556429
544.0,8977.9446271
545.0,8505.06036597
546.0,8389.44139706
547.0,8464.88052246
548.0,8205.80228644
549.0,7816.10212833
550.0,7280.91198203
551.0,6742.8938087
552.0,6340.09638806
553.0,6122.17163179
554.0,6051.59715859
555.0,6057.8709306
556.0,6093.60997132
557.0,6159.81022293
558.0,6622.41717479
559.0,6654.27045418
560.0,7547.87112236
561.0,8094.77763779
562.0,8623.97613393
563.0,8963.27932973
564.0,9221.22897253
565.0,9201.04107436
566.0,9116.25798925
567.0,8951.45072133
568.0,8745.25229851
569.0,8527.43334218
570.0,8463.4081638
571.0,8408.7897979
572.0,8117.81558263
573.0,7910.1829903
574.0,7400.74878383
575.0,6942.05340318
576.0,7092.57486717
577.0,7057.48532973
578.0,6775.78842266
579.0,6530.46803362
580.0,6357.05708102
581.0,6387.93222672
582.0,6397.04420324
583.0,6529.48842261
584.0,6717.47351058
585.0,6936.22393518
586.0,7400.39282622
587.0,7903.18740832
588.0,8335.220617
589.0,8424.79147355
590.0,8344.69012826
591.0,8209.269842
592.0,8254.18385043
593.0,8119.78645549
594.0,8077.95724758
595.0,8238.10573972
596.0,7896.93737867
597.0,7532.6802301
598.0,7083.29933977
599.0,6775.65058833
600.0,6412.27327278
601.0,6144.14800322
602.0,6103.03806492
603.0,6042.67748922
604.0,6023.13179271
605.0,5884.23214089
606.0,6051.62080657
607.0,6150.74068068
608.0,6367.64423965
609.0,6738.4506344
610.0,7162.93363081
611.0,7675.99430695
612.0,7986.6390128
613.0,7891.49925462
614.0,7707.02317191
615.0,7538.37387218
616.0,7390.594805
617.0,7257.13972286
618.0,7348.51894719
619.0,7609.5551488
620.0,7474.14780915
621.0,7229.32409038
622.0,6829.72452193
623.0,6606.49642631
624.0,6857.52877504
625.0,6728.42412231
626.0,6480.05334618
627.0,6276.32833571
628.0,6108.19852311
629.0,6153.39516855
630.0,6252.26920702
631.0,6663.333964
632.0,7224.56059395
633.0,7876.0224818
634.0,8482.27903834
635.0,9039.60778858
636.0,9303.0979288
637.0,9485.04884032
638.0,9263.73671577
639.0,9299.27266996
