hour_ending,total,process,other
1.0,45.9770113869,34.7542763326,11.2227350543
2.0,40.9809145992,30.9776992323,10.0032153669
3.0,40.5286817003,30.6358538914,9.89282780895
4.0,40.8947749994,30.912585834,9.98218916535
5.0,41.2824031984,31.2055961263,10.0768070721
6.0,40.9809145992,30.9776992323,10.0032153669
7.0,42.4237528956,32.0683486535,10.3554042421
8.0,43.1344045939,32.6055341894,10.5288704045
9.0,42.3160783959,31.9869569057,10.3291214902
10.0,48.6473389803,36.7727916793,11.874547301
11.0,70.9359604255,53.6208834846,17.3150769409
12.0,76.3627552121,57.7230275763,18.6397276358
13.0,72.2711242222,54.630141158,17.6409830642
14.0,67.5765160338,51.0814609517,16.4950550821
15.0,59.5009285536,44.9770798628,14.5238486908
16.0,56.6367868607,42.81205937,13.8247274907
17.0,54.2679478665,41.0214409172,13.2465069493
18.0,56.4645076611,42.6818325734,13.7826750877
19.0,55.3662277638,41.8516367453,13.5145910185
20.0,59.3717191539,44.8794097653,14.4923093886
21.0,45.4817086881,34.3798742925,11.1018343956
22.0,44.7925918898,33.8589671063,10.9336247835
23.0,47.5059892831,35.9100391521,11.595950131
24.0,42.0576595965,31.7916167108,10.2660428857
25.0,40.9593796992,30.9614208827,9.99795881647
26.0,40.2917978009,30.4567920461,9.83500575481
27.0,42.5744971953,32.1822971006,10.3922000947
28.0,40.3564025007,30.5056270948,9.85077540593
29.0,42.3160783959,31.9869569057,10.3291214902
30.0,47.7213382826,36.0728226478,11.6485156348
31.0,71.3666584244,53.946450476,17.4202079484
32.0,160.262725406,121.143477503,39.1192479035
33.0,244.636463398,184.922051119,59.7144122793
34.0,325.887640898,246.340264047,79.5473768505
35.0,368.505207893,278.555117847,89.950090046
36.0,348.628495242,263.530201194,85.0982940483
37.0,327.158199995,247.300686672,79.8575133228
38.0,302.479204656,228.645698065,73.8335065912
39.0,332.111226983,251.044707074,81.0665199095
40.0,288.158496191,217.8205956,70.3379005906
41.0,292.61622048,221.190213961,71.4260065186
42.0,213.087834976,161.074268999,52.0135659775
43.0,153.931464821,116.357642728,37.5738220926
44.0,102.872217047,77.7616758975,25.1105411495
45.0,87.3670890851,66.0412642068,21.3258248783
46.0,84.8044359914,64.104140608,20.7002953834
47.0,85.8165762889,64.8692230377,20.9473532512
48.0,78.9469432058,59.6764295248,19.270513681
49.0,46.4292442858,35.0961216736,11.3331226122
50.0,42.8759857945,32.4101939945,10.4657918
51.0,41.4331474981,31.3195445733,10.1136029248
52.0,42.7037065949,32.2799671979,10.423739397
53.0,50.5854799756,38.2378431407,12.3476368349
54.0,68.0718187325,51.4558629918,16.6159557407
55.0,87.5609031846,66.1877693529,21.3731338317
56.0,152.510161425,115.283271657,37.2268897678
57.0,249.761769586,188.796298317,60.9654712691
58.0,309.736465938,234.13150187,75.6049640681
59.0,334.135507578,252.574871933,81.5606356449
60.0,362.023203009,273.655334626,88.3678683826
61.0,340.574442662,257.442098455,83.1323442075
62.0,348.068587844,263.106964105,84.9616237387
63.0,333.575600179,252.151634844,81.423965335
64.0,347.659424745,262.797675463,84.8617492815
65.0,276.20662672,208.786111589,67.4205151314
66.0,176.607714466,133.498744827,43.1089696394
67.0,136.079032765,102.862890935,33.2161418303
68.0,101.75240225,76.91520172,24.83720053
69.0,85.36434339,64.5273776968,20.8369656932
70.0,69.7515409284,52.7255742583,17.0259666701
71.0,58.3811137564,44.1306056852,14.2505080712
72.0,53.1696679692,40.1912450891,12.9784228801
73.0,48.6473389803,36.7727916793,11.874547301
74.0,46.3861744859,35.0635649745,11.3226095114
75.0,40.5071468003,30.6195755417,9.88757125856
76.0,42.3806830957,32.0357919544,10.3448911413
77.0,41.3685427982,31.2707095246,10.0978332736
78.0,55.2370183641,41.7539666479,13.4830517162
79.0,61.5252091486,46.5072447224,15.0179644262
80.0,62.2573957468,47.0607086078,15.196687139
81.0,72.6156826214,54.8905947512,17.7250878702
82.0,126.237583489,95.4236851809,30.8138983081
83.0,143.314759147,108.33241639,34.9823427568
84.0,146.868017639,111.01834407,35.8496735692
85.0,167.024683989,126.254879267,40.7698047217
86.0,162.136261701,122.559693915,39.5765677861
87.0,158.56146831,119.857487886,38.7039804237
88.0,176.715388965,133.580136574,43.1352523911
89.0,168.596731685,127.443198786,41.1535328991
90.0,83.6630862942,63.2413880807,20.4216982135
91.0,55.3662277638,41.8516367453,13.5145910185
92.0,63.807908543,48.2327497768,15.5751587662
93.0,61.9343722476,46.8165333642,15.1178388834
94.0,57.0028801598,43.0887913127,13.9140888471
95.0,47.3552449835,35.7960907051,11.5591542784
96.0,44.4049636908,33.565956814,10.8390068768
97.0,41.2177984986,31.1567610776,10.061037421
98.0,40.8947749994,30.912585834,9.98218916535
99.0,41.4977521979,31.368379622,10.1293725759
100.0,39.9472394017,30.1963384529,9.75090094877
101.0,42.2299387961,31.9218435074,10.3080952887
102.0,41.045519299,31.026534281,10.018985018
