hour_ending,hvac,lighting,total,other
1.0,538.817689271,647.577736496,2283.85242779,1097.45700203
2.0,494.286335631,597.977300678,2119.73046563,1027.46682932
3.0,511.36363214,591.509583033,2107.37319501,1004.49997984
4.0,523.444997287,581.772003323,2074.81075469,969.59375408
5.0,549.468928085,602.766858373,2124.06832187,971.832535409
6.0,634.601274362,651.00904436,2295.07818784,1009.46786912
7.0,687.707789215,767.536372184,2567.57211705,1112.32795565
8.0,966.662575251,991.422062272,2858.00483628,899.920198755
9.0,815.164397894,959.523585297,2719.14815458,944.460171394
10.0,721.431755553,932.938603256,2608.09614305,953.72578424
11.0,666.926058082,941.168363535,2617.92562311,1009.83120149
12.0,606.64411896,954.906738291,2648.6204313,1087.06957405
13.0,563.071858646,927.818897115,2570.45231891,1079.56156315
14.0,532.286948631,876.133716394,2419.50983667,1011.08917165
15.0,535.183251471,858.808888859,2373.16546195,979.173321623
16.0,476.356391228,823.415644828,2289.96355735,990.191521293
17.0,468.739057651,809.109157748,2275.55333218,997.705116785
18.0,516.121876946,755.017446939,2463.63443767,1192.49511379
19.0,498.797113931,771.42452294,2669.13774184,1398.91610497
20.0,491.119418934,735.188442063,2591.79160931,1365.48374831
21.0,545.392488791,738.653882151,2609.13206849,1325.08569755
22.0,536.783640143,713.341661167,2532.10238562,1281.97708431
23.0,531.947773089,718.019169397,2552.04491129,1302.07796881
24.0,538.014480581,687.108389134,2453.6363943,1228.51352459
25.0,621.851788802,637.151759265,2201.9373391,942.933791034
26.0,600.894982867,578.510069173,2040.7372177,861.332165659
27.0,603.360509366,576.777398007,2046.9130911,866.775183727
28.0,649.949147891,577.882379114,2058.46418101,830.632654004
29.0,752.639093554,616.815002991,2099.44365499,729.989558448
30.0,822.020732495,769.923430421,2383.00798023,791.063817313
31.0,748.010314129,1067.39164349,2691.8512185,876.449260877
32.0,847.807739302,1495.16572197,3194.37828516,851.404823891
33.0,859.921125264,1675.29293888,3458.28270223,923.068638089
34.0,803.374310303,1734.78989354,3514.46633045,976.302126609
35.0,804.489600726,1791.4084272,3637.12870634,1041.23067842
36.0,836.152501957,1834.16082841,3756.24830816,1085.9349778
37.0,808.0851539,1772.8742325,3625.50668672,1044.54730033
38.0,777.62347852,1702.52439981,3458.74581683,978.5979385
39.0,797.374223773,1762.9383974,3535.98428476,975.671663586
40.0,867.183970009,1846.97828487,3659.31039073,945.148135853
41.0,916.360961234,1796.03604752,3521.29789297,808.900884221
42.0,849.817169647,1698.28765554,3487.65909534,939.554270156
43.0,740.727242084,1498.89114132,3252.27348031,1012.65509691
44.0,700.799655819,1285.1151918,3007.39973447,1021.48488686
45.0,801.503965045,1172.94828905,3039.2145552,1064.7623011
