hour_ending,hvac,lighting,total,other
1.0,1052.73825685,1199.12134935,4284.02354105,2032.16393486
2.0,1009.18669055,1138.5503952,4104.03670325,1956.29961749
3.0,1062.72383297,1140.76823454,4140.74160914,1937.24954163
4.0,1109.63865067,1152.67899385,4183.39728829,1921.07964377
5.0,1172.91098259,1198.51082862,4303.76397818,1932.34216698
6.0,1302.33328648,1246.43365889,4481.51233582,1932.74539045
7.0,1523.98884834,1423.17726686,5009.66102378,2062.49490858
8.0,1995.80021506,1758.80352915,5351.08104863,1596.47730442
9.0,1666.76313195,1683.19419401,5006.72731195,1656.76998599
10.0,1463.12843177,1673.03929117,4846.48467677,1710.31695383
11.0,1402.96681239,1804.73110087,5144.09297981,1936.39506656
12.0,1230.8323098,1811.61444356,5104.79573733,2062.34898397
13.0,1101.26804121,1698.40833861,4775.85553139,1976.17915156
14.0,1072.75528057,1662.59226269,4654.03758134,1918.69003808
15.0,1107.25474682,1691.80518342,4727.97627295,1928.91634271
16.0,1063.2595744,1750.61057519,4919.05209448,2105.1819449
17.0,1043.82736009,1674.85651227,4783.93414937,2065.25027701
18.0,1091.98661322,1478.17227593,4904.82443035,2334.66554121
19.0,1014.99083806,1452.20037741,5100.63938207,2633.4481666
20.0,949.024643598,1397.12796374,4941.07306534,2594.920458
21.0,1000.50052888,1309.30511133,4658.59377858,2348.78813837
22.0,981.594141695,1252.63335458,4485.38895651,2251.16146024
23.0,942.353046307,1223.39111725,4384.27911205,2218.5349485
24.0,984.884297804,1197.36204649,4323.06646991,2140.82012562
25.0,1224.73870073,1199.46395186,4199.31364442,1775.11099183
26.0,1264.85810018,1165.59436873,4165.88280176,1735.43033285
27.0,1277.87035914,1155.43115828,4169.67166292,1736.3701455
28.0,1421.33779006,1188.57965647,4318.35001037,1708.43256384
29.0,1613.07041943,1263.15515488,4371.14717851,1494.9216042
30.0,1797.57491274,1592.14124812,5025.57407047,1635.8579096
31.0,1811.9736547,2230.42439397,5873.82873623,1831.43068756
32.0,1898.55221321,2864.94327706,6394.90429696,1631.40880668
33.0,1850.76667144,3143.06775121,6725.63141242,1731.79698977
34.0,1766.70505803,3534.07352294,7289.67850994,1988.89992897
35.0,1727.42699532,3652.93164941,7503.57322929,2123.21458456
36.0,1739.10391433,3636.64116356,7528.85825098,2153.11317309
37.0,1722.16926356,3641.96491133,7509.91786688,2145.78369198
38.0,1728.3153474,3623.84599813,7435.12017043,2082.9588249
39.0,1728.26539701,3671.51620498,7431.72686388,2031.94526188
40.0,1908.11937717,3892.48041034,7792.48601259,1991.88622509
41.0,2039.82114907,3836.58650661,7604.33412011,1727.92646444
