hour_ending,total,process,other
1.0,1036.75030333,568.292758709,468.457544621
2.0,1001.56880485,549.008085473,452.560719377
3.0,1025.48190162,562.116005181,463.365896439
4.0,1030.12689164,564.662147857,465.464743783
5.0,1030.01220053,564.599280138,465.412920392
6.0,1067.11477513,584.936987691,482.177787439
7.0,1126.03733371,617.235279052,508.802054658
8.0,1226.9941847,672.57458995,554.41959475
9.0,1132.20198096,620.614419025,511.587561935
10.0,1134.61049431,621.934641157,512.675853153
11.0,1102.29627361,604.221660927,498.074612683
12.0,1001.54013207,548.992368542,452.547763528
13.0,969.914058045,531.656594637,438.257463408
14.0,990.071020909,542.7055965,447.365424409
15.0,980.723695314,537.581877286,443.141818028
16.0,963.548701351,528.167436153,435.381265198
17.0,968.595110262,530.933615852,437.66149441
18.0,1018.77247159,558.438243535,460.334228055
19.0,1017.65423325,557.82528326,459.82894999
20.0,1037.40977722,568.6542481,468.75552912
21.0,1020.69354771,559.491277853,461.202269857
22.0,1028.69325274,563.87630135,464.81695139
23.0,1023.61817105,561.09440472,462.52376633
24.0,1014.58624601,556.143571737,458.442674273
25.0,1025.53924717,562.147439038,463.391808132
26.0,969.684675822,531.530859196,438.153816626
27.0,995.174775376,545.503210059,449.671565317
28.0,1019.31725437,558.736865207,460.580389163
29.0,1085.80942632,595.184426118,490.625000202
30.0,1151.44141493,631.160479124,520.280935806
31.0,1276.54074491,699.733445169,576.807299741
32.0,1516.64658705,831.347017862,685.299569188
33.0,1601.11659075,877.649093952,723.467496798
34.0,1655.79557821,907.621279662,748.174298548
35.0,1678.79114608,920.226257603,758.564888477
36.0,1714.94751902,940.045306468,774.902212552
37.0,1691.83726003,927.377460803,764.459799227
38.0,1705.74355731,935.000171902,770.743385408
39.0,1744.27977081,956.123725963,788.156044847
40.0,1797.55379215,985.325782097,812.228010053
41.0,1737.39830411,952.351662736,785.046641374
42.0,1682.57595277,922.30089238,760.27506039
43.0,1585.28921735,868.973348535,716.315868815
44.0,1413.42458661,774.766069488,638.658517122
45.0,1311.12011506,718.688062876,592.432052184
46.0,1247.00778368,683.545007166,563.462776514
47.0,1265.73110765,693.808162524,571.922945126
48.0,1257.6167115,689.360271303,568.256440197
49.0,1221.63237524,669.635524025,551.996851215
50.0,1185.36131119,649.75360744,535.60770375
51.0,1209.53246296,663.002979517,546.529483443
52.0,1158.43757274,634.995410071,523.442162669
53.0,1156.68853329,634.036677336,522.651855954
54.0,1183.15350729,648.543403821,534.610103469
55.0,1303.63652003,714.58594412,589.05057591
56.0,1494.82660307,819.386434054,675.440169016
57.0,1634.40568589,895.896449801,738.509236089
58.0,1659.72374878,909.774499085,749.949249695
59.0,1724.52422683,945.294761118,779.229465712
60.0,1751.39061973,960.02152463,791.3690951
61.0,1729.82869075,948.202393192,781.626297558
62.0,1727.27681351,946.803586409,780.473227101
63.0,1763.51920478,966.669786063,796.849418717
64.0,1765.81302701,967.92714047,797.88588654
65.0,1700.20971117,931.966804389,768.242906781
66.0,1650.80651485,904.886533821,745.919981029
67.0,1520.68944874,833.56310501,687.12634373
68.0,1421.2235822,779.041074477,642.182507723
69.0,1358.14347082,744.463828248,613.679642572
70.0,1298.24603779,711.631161263,586.614876527
71.0,1272.78461101,697.674527328,575.110083682
72.0,1258.6489315,689.926080784,568.722850716
73.0,1217.04473077,667.120815205,549.923915565
74.0,1145.21942213,627.749905294,517.469516836
75.0,1176.7881506,645.05424534,531.73390526
76.0,1122.25252703,615.16064428,507.09188275
77.0,1118.98383035,613.368914248,505.614916102
78.0,1111.95899977,609.518266376,502.440733394
79.0,1120.27410536,614.076176105,506.197929255
80.0,1217.04473077,667.120815205,549.923915565
81.0,1177.18956949,645.274282361,531.915287129
82.0,1279.78076882,701.509458275,578.271310545
83.0,1233.47423251,676.126616156,557.347616354
84.0,1226.27736526,672.181666702,554.095698558
85.0,1225.99063748,672.0244974,553.96614008
86.0,1228.97260638,673.65905813,555.31354825
87.0,1179.02462727,646.280165884,532.744461386
88.0,1077.83839406,590.815119547,487.023274513
89.0,1054.92884452,578.257292395,476.671552125
90.0,1080.96372685,592.528264928,488.435461922
91.0,1090.25370689,597.620550282,492.633156608
92.0,1124.48900371,616.38656483,508.10243888
93.0,1103.72991251,605.007507435,498.722405075
94.0,1120.4748148,614.186194613,506.288620187
95.0,1092.11743746,598.642150742,493.475286718
96.0,1114.28149478,610.791337714,503.490157066
97.0,1115.39973311,611.404297984,503.995435126
98.0,1060.29065399,581.196358326,479.094295664
99.0,1101.29272639,603.671568377,497.621158013
100.0,1104.10265862,605.211827524,498.890831096
101.0,1098.16739359,601.95842299,496.2089706
102.0,1157.66340774,634.57105296,523.09235478
103.0,1140.63177767,625.23519648,515.39658119
104.0,1271.78106378,697.124434772,574.656629008
105.0,1196.54369457,655.88321018,540.66048439
106.0,1162.02166998,636.960026335,525.061643645
107.0,1099.83041471,602.870004937,496.960409773
108.0,1053.46653285,577.455728962,476.010803888
109.0,1060.54870899,581.337810697,479.210898293
110.0,1090.33972523,597.667701076,492.672024154
111.0,1081.59452797,592.874037394,488.720490576
112.0,1065.70980901,584.166858114,481.542950896
113.0,1047.3018856,574.076588989,473.225296611
114.0,1099.9737786,602.948589588,497.025189012
115.0,1084.69118798,594.571465843,490.119722137
116.0,1071.41569181,587.294527204,484.121164606
117.0,1090.110343,597.541965631,492.568377369
118.0,1082.08196519,593.141225203,488.940739987
119.0,1112.73316477,609.942623487,502.790541283
