hour_ending,hvac,lighting,total,other
1.0,180.978025471,932.212802563,2629.77882364,1516.58799561
2.0,184.605946785,887.145948659,2602.12078545,1530.36889001
3.0,181.837613494,878.837593074,2565.35666097,1504.6814544
4.0,176.999382,881.338859074,2513.98202492,1455.64378385
5.0,186.95968596,922.160657788,2593.60365002,1484.48330627
6.0,190.743580959,1006.51296449,2753.11872367,1555.86217822
7.0,304.176875417,1457.75113034,2945.32056973,1183.39256397
8.0,325.632894703,1979.57288594,3137.27324428,832.067463642
9.0,285.855140634,2175.02172187,3273.13967595,812.262813449
10.0,326.7884861,2200.34972158,3362.20716666,835.068958981
11.0,335.818120521,2321.978908,3496.39735359,838.600325071
12.0,343.351550199,2364.9685039,3585.2084932,876.888439103
13.0,326.104394042,2358.96331015,3594.33294741,909.265243214
14.0,337.917519373,2440.60613404,3711.27839601,932.7547426
15.0,342.905543092,2469.02958827,3779.03567799,967.100546629
16.0,348.562257565,2518.39520153,3858.55671549,991.599256399
17.0,358.269706887,2578.59741082,3928.90233649,992.035218787
18.0,329.622877366,2355.19673624,4038.39270749,1353.57309388
19.0,322.227894817,2149.23309155,3968.1851121,1496.72412573
20.0,312.236211174,1973.15289494,3803.48992012,1518.10081401
21.0,304.203934602,1924.7724305,3690.02627287,1461.04990777
22.0,320.23640563,1636.17854467,3582.90517328,1626.49022298
23.0,271.409684184,1413.35564892,3413.78567031,1729.0203372
24.0,262.506044162,1122.67108358,3061.61571148,1676.43858373
25.0,390.589764658,1039.15454569,2816.54420027,1386.79988993
26.0,395.539032555,973.068147895,2725.80046482,1357.19328437
27.0,364.845108403,939.258265951,2588.86939123,1284.76601688
28.0,344.377917918,957.991673979,2529.02292366,1226.65333176
29.0,340.742201717,1128.83475947,2697.16839253,1227.59143135
30.0,327.100925135,1404.74035055,3127.07986411,1395.23858843
31.0,430.831757763,2202.46925245,3881.77507982,1248.47406961
32.0,576.407680977,2962.31472779,4497.02485482,958.30244605
33.0,574.705910786,3245.74668068,4782.05441628,961.601824815
34.0,608.946639591,3307.91554409,4943.97059726,1027.10841358
35.0,642.908526296,3469.95731984,5140.91288102,1028.04703488
36.0,661.515579118,3578.94290317,5330.83188897,1090.37340668
37.0,667.800911296,3603.43932098,5387.92897221,1116.68873993
38.0,677.481159694,3659.14062271,5454.8946064,1118.272824
39.0,677.539182527,3650.84225395,5455.14377791,1126.76234144
40.0,663.307086045,3576.35029659,5308.46591081,1068.80852818
41.0,672.67315676,3498.84078787,5141.2718241,969.757879471
42.0,647.760338758,3219.97453745,5039.61834354,1171.88346733
43.0,639.630991547,2935.30540175,4886.16898464,1311.23259135
44.0,667.466640607,2651.33793582,4768.64145331,1449.83687689
45.0,650.822509782,2484.36179801,4477.02800722,1341.84369943
46.0,744.565045603,2162.27095494,4337.53243312,1430.69643258
47.0,673.201915167,1706.78308866,3815.49545677,1435.51045295
48.0,485.292088787,1334.18542839,3419.60722299,1600.12970581
49.0,366.909661181,1088.55469918,2950.43991177,1494.9755514
50.0,369.650393389,1030.13383108,2885.65531782,1485.87109335
51.0,370.55876136,1012.68032186,2791.2419655,1408.00288228
52.0,336.04063223,969.206441217,2558.62903006,1253.38195661
53.0,327.598282792,1141.53853521,2727.52201347,1258.38519547
54.0,329.094483536,1418.4076617,3157.38818115,1409.88603591
55.0,406.013253655,2120.39513998,3735.98709145,1209.57869782
56.0,539.162572961,2880.58421201,4365.71146629,945.964681315
57.0,569.210622335,3268.28819069,4799.67763799,962.178824969
58.0,633.566707198,3366.23417104,5014.9844791,1015.18360086
59.0,654.068504583,3535.53727015,5228.00046761,1038.39469288
