hour_ending,total
1.0,15314.0454473
2.0,14910.746607
3.0,16217.3379407
4.0,15538.7310039
5.0,14390.6983224
6.0,14053.6035788
7.0,14724.200424
8.0,15131.6233722
9.0,15157.8163544
10.0,15216.5196941
11.0,15563.1614441
12.0,16379.9876731
13.0,16768.5843428
14.0,16632.8948694
15.0,16618.9765191
16.0,16775.678463
17.0,16921.7279883
18.0,18377.2596687
19.0,19775.0255927
20.0,19655.3703756
21.0,19522.0485729
22.0,18608.1067282
23.0,16769.6880069
24.0,15080.0668362
25.0,13864.1145538
26.0,13662.490901
27.0,15055.5023618
28.0,14876.900688
29.0,13888.321659
30.0,13907.0238935
31.0,16071.4685212
32.0,17478.602173
33.0,18780.1890909
34.0,20084.2042407
35.0,21087.6021469
36.0,22614.4319985
37.0,23205.9152283
38.0,22720.7649065
39.0,22904.3210919
40.0,22900.4785078
41.0,22611.2283394
42.0,22875.5150222
43.0,23597.2374607
44.0,22688.420029
45.0,21766.8901738
46.0,20539.3810826
47.0,18302.4923536
48.0,15789.2033976
49.0,14373.8543296
50.0,13906.5564391
51.0,14133.3147704
52.0,13199.8510834
53.0,13195.3746407
54.0,13625.614042
55.0,15653.8059567
56.0,16906.5540341
57.0,18642.7916584
58.0,20129.7628877
59.0,21139.8782684
60.0,22757.8730681
61.0,23498.0877755
62.0,23382.5333284
63.0,23807.6122397
64.0,22974.6966269
65.0,22886.5949303
66.0,23324.1426125
67.0,23730.7728333
68.0,23197.1628512
69.0,22347.5561876
70.0,20956.041216
71.0,18816.9867491
72.0,16585.1420042
73.0,15429.9944388
74.0,15890.7429259
75.0,15214.3794019
76.0,14516.5879029
77.0,13881.2526983
78.0,13890.2060954
79.0,14433.9469374
80.0,15050.548968
81.0,15833.9034066
82.0,17313.5130427
83.0,18397.8654869
84.0,19833.7876098
85.0,20337.782636
86.0,20826.0323319
87.0,20528.7576082
88.0,21000.3716571
89.0,20969.3425586
90.0,21775.7745697
91.0,22724.0158327
92.0,22436.5799546
93.0,21106.075727
94.0,20161.4131953
95.0,18463.8919684
96.0,16223.5443763
97.0,15035.0040597
98.0,15987.1333733
99.0,15662.7841825
100.0,14734.560063
101.0,14257.9843118
102.0,14085.9956846
103.0,14600.1386198
104.0,15261.7203842
105.0,16635.0351369
106.0,17964.1652841
107.0,19073.9817431
108.0,20330.1229422
109.0,20856.5538668
110.0,20037.5656977
111.0,19567.7432051
112.0,19317.6022282
113.0,19139.6445518
114.0,19672.3493606
115.0,20988.2055609
116.0,21026.2909483
117.0,19880.019175
118.0,18244.3915084
119.0,16522.1836797
120.0,14787.1231235
121.0,14012.7598619
122.0,15243.5853313
123.0,15048.8740249
124.0,14434.0158366
125.0,13912.311446
126.0,13940.0976363
127.0,15943.7459317
128.0,17432.1651112
129.0,19717.9532516
130.0,21559.0543649
131.0,22241.7736094
132.0,23062.098355
133.0,23635.1075256
134.0,23632.5832434
135.0,23879.9967047
136.0,23552.8003903
137.0,22465.9060229
138.0,21888.3711666
139.0,22678.7428682
140.0,22178.6085688
141.0,20939.5172471
142.0,19552.5119655
143.0,17422.1396461
144.0,15179.359703
145.0,14087.3563578
146.0,13536.587239
147.0,13279.3218349
148.0,13197.971494
149.0,13263.4165486
150.0,14060.2458639
151.0,16913.2294342
152.0,17691.424683
153.0,20466.441088
154.0,22189.6259645
155.0,23138.9803828
156.0,24020.149125
157.0,24862.0402942
158.0,24151.6352301
159.0,24576.9819783
160.0,23498.4253056
161.0,22741.7951093
162.0,22787.8407143
163.0,23703.0858249
164.0,23369.6514947
165.0,22298.0181092
166.0,20203.4652514
167.0,17358.3605684
168.0,15127.1015567
169.0,13941.0977682
170.0,13429.5319462
171.0,13257.5102782
172.0,13031.1974274
173.0,12996.7014243
174.0,13504.0303574
175.0,15028.0913483
176.0,17073.2132086
177.0,19359.552084
178.0,21324.0138313
179.0,23021.1904265
180.0,23975.8692052
181.0,24687.6702173
182.0,24359.1116599
183.0,24475.784074
184.0,23918.4540792
185.0,23304.3420522
186.0,24307.2973055
187.0,24697.3329594
188.0,24657.5036431
189.0,23421.2845715
190.0,21232.1187376
191.0,18298.8365716
192.0,15807.8342839
193.0,14717.5530743
194.0,15938.8848397
195.0,15484.7834257
196.0,14896.4574176
197.0,13979.3073813
198.0,13851.2678193
199.0,14907.4459345
200.0,16926.2465283
201.0,19468.2241205
202.0,21952.143036
203.0,22947.7638915
204.0,24343.9820175
205.0,24587.9906391
206.0,24465.850487
207.0,24412.2347288
208.0,23876.5011842
209.0,22694.8534107
210.0,23057.2491608
211.0,23677.8203525
212.0,23637.4246324
213.0,22397.2315109
214.0,20697.8059847
215.0,17863.7837235
216.0,15547.3300042
217.0,14491.3638021
218.0,14066.2747406
219.0,13458.5866277
220.0,13200.151067
221.0,12991.4272789
222.0,13565.5027432
223.0,15192.1190261
224.0,17531.3806188
225.0,20314.0658219
226.0,22191.2169267
227.0,22908.7272543
228.0,24031.1867004
229.0,24671.2572279
230.0,24069.7986273
231.0,24903.5251425
232.0,24100.9367357
233.0,23407.1285438
234.0,23970.6714653
235.0,24724.3455976
236.0,24144.9877692
237.0,22782.6507249
238.0,21737.343534
239.0,19468.525921
240.0,17034.941151
241.0,15656.2470873
242.0,16525.22583
243.0,15407.2670599
244.0,14422.8648626
245.0,14006.701334
246.0,13954.0430855
247.0,14650.1858702
248.0,15420.0688546
249.0,16410.7423822
250.0,17717.9888765
251.0,19091.1452886
252.0,20551.4352188
253.0,21392.9221556
254.0,21361.8131402
255.0,21600.6863991
256.0,21321.4213036
257.0,21058.5555635
258.0,22525.5043911
259.0,23652.0306983
260.0,22891.6555345
261.0,22280.6763862
262.0,20437.146275
263.0,18267.5367018
264.0,16149.6881159
265.0,14825.7823645
266.0,14215.5441316
267.0,13681.2583851
268.0,13172.3981817
269.0,13127.2746156
270.0,13435.6371358
271.0,14279.523861
272.0,15290.8319772
273.0,16706.4016042
274.0,17955.6875572
275.0,19812.6107564
276.0,21234.3599625
277.0,22326.4406598
278.0,21683.5094492
279.0,20969.2901792
280.0,20529.3022834
281.0,19880.3365924
282.0,20416.1317929
283.0,22244.8565354
284.0,21509.3709827
285.0,20424.3026449
286.0,18951.1157483
287.0,16760.0986863
288.0,15132.629589
289.0,14435.8188492
290.0,15159.3716461
291.0,14943.4135359
292.0,14328.086045
293.0,13740.667069
294.0,13712.6087402
295.0,15126.8564325
296.0,17445.0782541
297.0,20162.2817991
298.0,21727.6819338
299.0,22461.5976638
300.0,23322.1481581
301.0,24203.0397208
302.0,24436.3948049
303.0,24922.7495965
304.0,23819.8164195
305.0,22998.8272303
306.0,22808.4158183
307.0,22971.4019889
308.0,22767.153632
309.0,21887.069631
310.0,20060.1824196
311.0,18104.6372675
312.0,17528.4361143
313.0,16272.7360685
314.0,15452.081368
315.0,15070.8445683
316.0,14153.4006031
317.0,14030.6472124
318.0,14204.0680461
319.0,15229.1553778
320.0,17506.3349738
321.0,19604.1448921
322.0,21398.0700496
323.0,22641.8694129
324.0,24763.3903914
325.0,25730.897684
326.0,25843.1070461
327.0,26806.7720278
328.0,25434.4210414
329.0,24090.5875787
330.0,23817.1683981
331.0,24402.7916036
332.0,24338.9433509
333.0,23230.6124643
334.0,20798.4605382
335.0,17907.7240335
336.0,16852.72335
337.0,14610.5850608
338.0,13707.3078063
339.0,13193.0695241
340.0,12866.122974
341.0,12927.3229834
342.0,13436.7403676
343.0,15153.4345849
344.0,17107.2585656
345.0,19199.8845313
346.0,21012.002313
347.0,22532.6199335
348.0,24652.1268195
349.0,26406.2722424
350.0,27015.582079
351.0,27693.2971719
352.0,26951.628536
353.0,26292.7063121
354.0,25586.741904
355.0,26007.6951659
356.0,25655.9603156
357.0,25636.5081886
358.0,21619.7269279
359.0,18787.7238073
360.0,17923.61395
361.0,16380.7386094
362.0,15595.3568989
363.0,14665.2354929
364.0,14087.4055378
365.0,13429.8020456
366.0,13508.6342871
367.0,15007.5264532
368.0,16757.5765053
369.0,19107.4512317
370.0,21119.4490268
371.0,22417.0455551
372.0,24500.51174
373.0,26077.167126
374.0,26881.2284647
375.0,27484.0215541
376.0,26257.7688651
377.0,25020.4974409
378.0,23894.206136
379.0,24295.5065214
380.0,24734.2350054
381.0,23383.6086878
382.0,21531.0292218
383.0,19439.8899525
384.0,17860.3579527
385.0,16085.3188481
386.0,14455.8523691
387.0,13230.6136706
388.0,12969.1219625
389.0,15295.6356725
390.0,16876.5245384
391.0,18789.40905
392.0,20484.2473194
393.0,20170.7600194
394.0,22163.9931668
395.0,23024.6661038
396.0,25744.9392261
397.0,27086.8191867
398.0,28043.945672
399.0,28643.5565793
400.0,27901.8817536
401.0,26007.3157158
402.0,27223.6805612
403.0,27633.9587107
404.0,27146.8004249
405.0,24182.5752423
406.0,22115.8544679
407.0,20079.2099146
408.0,19305.1241909
409.0,17513.0514351
410.0,16556.6751512
411.0,15654.320322
412.0,14719.1299378
413.0,13891.4681835
414.0,13763.7663702
415.0,14735.2522433
416.0,15362.7547593
417.0,16504.3008711
418.0,18420.7292926
419.0,19977.5711459
420.0,21553.8708912
421.0,22946.1595312
422.0,22888.2554951
423.0,23543.671785
424.0,24178.955227
425.0,26375.6472063
426.0,30834.4470925
427.0,31262.4857955
428.0,31634.0829049
429.0,30494.8442288
430.0,28450.265434
431.0,25529.4035149
432.0,24300.8857245
433.0,19721.3325871
434.0,17743.5578592
435.0,16256.41255
436.0,15679.9718147
437.0,15637.7000216
438.0,15697.3239992
439.0,16237.0593462
440.0,16386.2073105
441.0,17195.3468577
442.0,18268.9112337
443.0,19529.4879957
444.0,20848.0608845
445.0,21481.441725
446.0,20582.7055185
447.0,20353.3144451
448.0,20138.4744864
449.0,19415.9705924
450.0,21278.35399
451.0,22998.2811138
452.0,21801.6112126
453.0,20963.6280279
454.0,19122.7201538
455.0,17523.0894809
456.0,17603.2593568
457.0,16071.9254249
458.0,14401.6987769
459.0,13263.7462518
460.0,13026.9519751
461.0,12993.1860804
462.0,13684.7862766
463.0,15862.3838815
464.0,16675.4664438
465.0,17408.4445439
466.0,18984.1838022
467.0,20521.2167462
468.0,22738.716137
469.0,22916.4167465
470.0,22968.192451
471.0,23809.5564908
472.0,23340.1802528
473.0,22638.1785406
474.0,22417.9741462
475.0,23075.9505296
476.0,22606.2187729
477.0,22024.7470401
478.0,20167.1732429
479.0,17885.1464426
480.0,15588.4040958
481.0,14132.0835615
482.0,13260.3839563
483.0,12887.8737144
484.0,12673.9810666
485.0,12794.4835394
