hour_ending,total
1.0,209.047614986
2.0,205.994678048
3.0,209.99656841
4.0,206.76384256
5.0,195.948765645
6.0,201.959136942
7.0,207.591449761
8.0,211.499971162
9.0,214.686979512
10.0,217.944510319
11.0,218.689706932
12.0,219.292681416
13.0,221.57963152
14.0,223.883863086
15.0,223.779590808
16.0,221.463393564
17.0,217.864824668
18.0,219.596537029
19.0,219.108838073
20.0,215.612220564
21.0,212.561683614
22.0,208.193934605
23.0,203.13747859
24.0,195.165251581
25.0,194.090665679
26.0,189.79314073
27.0,195.084056034
28.0,193.608378816
29.0,192.495482155
30.0,202.562809722
31.0,217.341232966
32.0,235.702080881
33.0,240.671436532
34.0,244.467425625
35.0,249.103916285
36.0,250.554331666
37.0,256.765924615
38.0,256.143811848
39.0,252.650709975
40.0,246.919371002
41.0,238.042950511
42.0,235.437098755
43.0,229.710778574
44.0,223.708802093
45.0,221.584605913
46.0,215.101165526
47.0,207.761367886
48.0,200.467367744
49.0,200.836724093
50.0,197.910129073
51.0,197.451467198
52.0,190.885554102
53.0,192.555946809
54.0,200.503247752
55.0,216.840620311
56.0,223.358312151
57.0,233.843355008
58.0,245.147176799
59.0,246.075862484
60.0,247.170642461
61.0,249.695511533
62.0,248.362579878
63.0,248.18694995
64.0,241.851070292
65.0,230.33697199
66.0,229.133441524
67.0,228.76518123
68.0,224.289485088
69.0,220.903759357
70.0,215.682224969
71.0,211.341071199
72.0,204.078347844
73.0,203.962991419
74.0,200.582008646
75.0,197.528710193
76.0,195.458052127
77.0,193.742417663
78.0,198.973980825
79.0,202.641562579
80.0,202.874867856
81.0,206.066097257
82.0,212.185799625
83.0,215.255759836
84.0,220.895839005
85.0,220.523566821
86.0,219.246281711
87.0,217.839426915
88.0,218.112482564
89.0,215.783225511
90.0,218.887844854
91.0,220.414553958
92.0,217.076585681
93.0,212.516180575
94.0,209.477603108
95.0,206.120110805
96.0,198.917359822
97.0,201.782948177
98.0,200.665133382
99.0,195.78414755
100.0,195.365660848
101.0,194.395061546
102.0,199.295871522
103.0,200.934342361
104.0,202.597955552
105.0,207.44508352
106.0,218.12167705
107.0,225.255566506
108.0,228.049845064
109.0,230.101124224
110.0,229.049757371
111.0,227.423794153
112.0,224.950457747
113.0,216.03322182
114.0,217.205085783
115.0,218.546737539
116.0,216.384030972
117.0,214.924940345
118.0,209.703915546
119.0,204.946312109
120.0,196.670591292
121.0,193.882858226
122.0,196.656826681
123.0,195.997881312
124.0,196.988222941
125.0,197.937055569
126.0,206.699497575
127.0,231.235078435
128.0,252.725081145
129.0,268.683280397
130.0,280.712366178
131.0,286.475200042
132.0,289.077083125
133.0,289.445291374
134.0,288.346246176
135.0,286.805893966
136.0,271.478361984
137.0,254.087198547
138.0,251.433955329
139.0,247.890212468
140.0,241.981227945
141.0,238.887407249
142.0,233.575353205
143.0,224.209459491
144.0,211.393952556
145.0,188.296818771
146.0,192.914617711
147.0,194.954004501
148.0,194.866406637
149.0,197.452376171
150.0,209.785124855
151.0,240.089373451
152.0,255.24297818
153.0,272.336154894
154.0,281.605396078
155.0,283.702581611
156.0,286.694815916
157.0,284.356832872
158.0,287.699320807
159.0,283.654955986
160.0,271.706251929
161.0,257.973131968
162.0,253.96210748
163.0,249.674009964
164.0,241.335281506
165.0,234.693981297
166.0,228.810134411
167.0,221.563966115
168.0,212.217646114
169.0,198.474249914
170.0,193.432561327
171.0,189.948513548
172.0,192.290756056
173.0,194.289298008
174.0,205.321424135
175.0,225.46160281
176.0,247.538423675
177.0,260.015775392
178.0,268.629751786
179.0,272.350836059
180.0,278.773980761
181.0,284.091929306
182.0,280.971412098
183.0,271.350631075
184.0,266.306460559
185.0,252.553679356
186.0,252.640629353
187.0,249.157730657
188.0,243.12434665
189.0,237.73193878
190.0,230.156033739
191.0,219.145516563
192.0,212.575943874
193.0,205.571747915
194.0,206.656660514
195.0,204.087752402
196.0,200.242037193
197.0,198.785614945
198.0,211.794647101
199.0,228.618611246
200.0,251.837398729
201.0,265.426523738
202.0,275.459485312
203.0,277.517033289
204.0,278.244637011
205.0,275.235339967
206.0,276.138764665
207.0,270.517937712
208.0,258.900342002
209.0,244.591730473
210.0,246.346297932
211.0,242.670161303
212.0,238.121337292
213.0,230.736302407
214.0,221.861062706
215.0,216.749662478
216.0,205.371172109
217.0,197.526692631
218.0,195.490800369
219.0,191.420817432
220.0,191.493614188
221.0,193.627086754
222.0,203.997591543
223.0,224.704121563
224.0,249.468451009
225.0,266.883180701
226.0,275.720221958
227.0,277.04165923
228.0,279.492207017
229.0,278.41895798
230.0,281.560740118
231.0,278.055669322
232.0,265.08741334
233.0,252.140845794
234.0,248.265954141
235.0,243.407500066
236.0,236.734367636
237.0,233.27011821
238.0,227.700726997
239.0,224.371667343
240.0,223.660353172
241.0,208.112320043
242.0,207.005583627
243.0,201.307130327
244.0,199.11231257
245.0,195.825886149
246.0,201.432646758
247.0,205.183544854
248.0,205.413905333
249.0,211.140925005
250.0,215.014709843
251.0,221.165809881
252.0,230.830481787
253.0,230.711366699
254.0,230.547868889
255.0,227.763346438
256.0,226.278213017
257.0,222.319299961
258.0,226.62789512
259.0,225.545854686
260.0,223.710058418
261.0,219.184541822
262.0,214.000351497
263.0,208.172594885
264.0,203.628325521
265.0,197.108416521
266.0,192.270143964
267.0,189.083497506
268.0,189.803116531
269.0,192.173515526
270.0,200.82484565
271.0,200.611341801
272.0,203.128726156
273.0,207.224654038
274.0,212.27223567
275.0,219.372778306
276.0,218.939495106
277.0,221.495806914
278.0,221.733102779
279.0,219.203062946
280.0,217.19796349
281.0,213.128053602
282.0,216.955505893
283.0,219.205247797
284.0,216.826842953
285.0,216.736978891
286.0,217.822754263
287.0,204.596944564
288.0,198.09192116
289.0,196.176581086
290.0,199.288059432
291.0,200.484393464
292.0,201.539651178
293.0,202.377995133
294.0,213.978868583
295.0,234.445140083
296.0,257.21925016
297.0,276.435993328
298.0,286.472641498
299.0,292.694642811
300.0,300.921222936
301.0,301.351491539
302.0,302.509414335
303.0,297.445454692
304.0,281.506423521
305.0,265.016417702
306.0,257.549238497
307.0,252.375738305
308.0,246.203883792
309.0,244.736567346
310.0,239.422936318
311.0,230.393647303
312.0,220.877328259
313.0,209.956490456
314.0,204.052455405
315.0,203.884655214
316.0,204.799703659
317.0,206.632564248
318.0,217.836103802
319.0,235.344654212
320.0,259.163490423
321.0,276.846365922
322.0,292.609999614
323.0,298.766950444
324.0,307.073936491
325.0,313.079640693
326.0,316.383808319
327.0,314.442701328
328.0,300.496343868
329.0,278.984378676
330.0,272.02363898
331.0,266.179152353
332.0,256.426647302
333.0,249.072774799
334.0,237.925392856
335.0,229.84492471
336.0,225.771977243
337.0,215.41202303
338.0,205.532855039
339.0,199.785640112
340.0,202.808688782
341.0,207.445061839
342.0,215.001328076
343.0,236.705095603
344.0,259.238372856
345.0,282.133834135
346.0,298.043231556
347.0,308.880031101
348.0,319.852279873
