hour_ending,total,process,other
1.0,67.6712152175,37.0938512944,30.5773639231
2.0,71.7651166063,39.3379157587,32.4272008476
3.0,72.1793804373,39.5649937105,32.6143867268
4.0,78.5639171269,43.0646656727,35.4992514542
5.0,69.8887451364,38.3093862126,31.5793589238
6.0,72.9104342567,39.9657195077,32.944714749
7.0,83.7787677054,45.9231763594,37.855591346
8.0,87.6533529483,48.0470230846,39.6063298637
9.0,80.9276578097,44.3603457504,36.5673120593
10.0,69.9374820577,38.3361012657,31.601380792
11.0,59.4103070581,32.565649786,26.8446572721
12.0,56.0474594888,30.7223111189,25.3251483699
13.0,48.1277097784,26.3811149825,21.7465947959
14.0,50.4427135399,27.650080007,22.7926335329
15.0,47.0311290493,25.7800262867,21.2511027626
16.0,46.5437598363,25.5128757552,21.0308840811
17.0,48.1277097784,26.3811149825,21.7465947959
18.0,49.9066074057,27.3562144224,22.5503929833
19.0,55.9743541068,30.6822385391,25.2921155677
20.0,55.9499856462,30.6688810126,25.2811046336
21.0,55.828143343,30.6020933797,25.2260499633
22.0,57.3146194424,31.4169025007,25.8977169417
23.0,66.6477398704,36.5328351783,30.1149046921
24.0,68.816532868,37.7216550434,31.0948778246
25.0,68.2316898124,37.4010744056,30.8306154068
26.0,76.9799671848,42.1964264454,34.7835407394
27.0,75.103595715,41.1678968993,33.9356988157
28.0,85.533296872,46.8849182727,38.6483785993
29.0,85.6307707146,46.938348379,38.6924223356
30.0,135.634851963,74.3479929078,61.2868590552
31.0,301.023594376,165.005525762,136.018068614
32.0,320.250309827,175.544614228,144.705695599
33.0,662.700287303,363.257935164,299.442352139
34.0,806.157415134,441.893694102,364.263721032
35.0,675.981098356,370.537787147,305.443311209
36.0,650.199266991,356.405524032,293.793742959
37.0,605.141983254,331.707457398,273.434525856
38.0,605.093246333,331.680742345,273.412503988
39.0,613.865892166,336.489451911,277.376440255
40.0,569.247240721,312.031820755,257.215419966
41.0,331.069906354,181.475356026,149.594550328
42.0,216.976773604,118.93541661,98.041356994
43.0,139.899332576,76.685560058,63.213772518
44.0,138.412856477,75.8707509373,62.5421055397
45.0,190.610099183,104.482572857,86.1275263257
46.0,122.71956782,67.2685038239,55.4510639961
47.0,218.000248951,119.496432726,98.503816225
48.0,114.629238885,62.8338050015,51.7954338835
49.0,106.124646119,58.1720282273,47.9526178917
