hour_ending,total,process,other
1.0,75.8382930004,57.3265836997,18.5117093007
2.0,75.7743206939,57.2782266806,18.4960940133
3.0,75.5508557877,57.1093083262,18.4415474615
4.0,75.6170189266,57.1593214076,18.457697519
5.0,75.8689646542,57.3497685718,18.5191960824
6.0,75.7305040456,57.2451054346,18.485398611
7.0,75.5705732794,57.1242128869,18.4463603925
8.0,75.8680883212,57.3491061469,18.5189821743
9.0,75.2493972476,56.8814341541,18.3679630935
10.0,74.4282732589,56.260742005,18.1675312539
11.0,74.3537849569,56.204435887,18.1493490699
12.0,73.8906429846,55.8543443173,18.0362986673
13.0,73.8376248402,55.8142676097,18.0233572305
14.0,74.8971113955,56.6151393367,18.2819720588
15.0,74.7748629468,56.5227310605,18.2521318863
16.0,74.4063649348,56.2441813821,18.1621835527
17.0,74.554465206,56.3561311934,18.1983340126
18.0,75.1424846258,56.800618314,18.3418663118
19.0,75.1083076401,56.7747837421,18.333523898
20.0,75.2454537492,56.878453242,18.3670005072
21.0,75.073692488,56.7486179579,18.3250745301
22.0,75.060109327,56.7383503716,18.3217589554
23.0,75.5929197701,57.1411047224,18.4518150477
24.0,77.15761228,58.3238644152,18.8337478648
25.0,82.6763191302,62.4954853424,20.1808337878
26.0,84.7554190908,64.0670884626,20.6883306282
27.0,85.4380824709,64.5831174745,20.8549649964
28.0,83.5421361001,63.1499611623,20.3921749378
29.0,84.0683740458,63.5477473261,20.5206267197
30.0,90.515555673,68.421207455,22.094348218
31.0,94.7166959096,71.5968725165,23.1198233931
32.0,112.860293627,85.3117180386,27.5485755884
33.0,121.626690448,91.938285716,29.688404732
34.0,116.171079571,87.8143593827,28.3567201883
35.0,124.507196905,94.1156764242,30.3915204808
36.0,120.789354299,91.3053387055,29.4840155935
37.0,120.232882866,90.8846988821,29.3481839839
38.0,117.026818712,88.4612173162,28.5656013958
39.0,112.411172982,84.9722252675,27.4389477145
40.0,110.410066656,83.4595779656,26.9504886904
41.0,113.172268163,85.54754131,27.624726853
42.0,113.301965442,85.645580198,27.656385244
43.0,126.206406525,95.400118342,30.806288183
44.0,127.534050968,96.4036920944,31.1303588736
45.0,114.286525529,86.3898145947,27.8967109343
46.0,122.370258969,92.5003532595,29.8699057095
47.0,110.69356037,83.6738724266,27.0196879434
48.0,107.068609058,80.9337517491,26.1348573089
49.0,89.2523217032,67.4663219342,21.785999769
50.0,89.8688219445,67.9323378648,21.9364840797
51.0,89.3570434926,67.5454817121,21.8115617805
52.0,90.1312836676,68.130734128,22.0005495396
53.0,90.7806463951,68.621590993,22.1590554021
54.0,102.14887579,77.2148982543,24.9339775357
55.0,107.65881931,81.3798949318,26.2789243782
56.0,120.019057622,90.7230672015,29.2959904205
57.0,123.749607056,93.5430100815,30.2065969745
58.0,120.904153917,91.3921163696,29.5120375474
59.0,127.344324881,96.2602770995,31.0840477815
60.0,113.938621341,86.1268319013,27.8117894397
61.0,119.906448836,90.6379455995,29.2685032365
62.0,119.289072262,90.1712672442,29.1178050178
63.0,112.681083536,85.176252143,27.504831393
64.0,112.064145128,84.7099049998,27.3542401282
65.0,114.615150391,86.6382239393,27.9769264517
66.0,109.198974497,82.544106727,26.65486777
67.0,112.220570562,84.8281478476,27.3924227144
68.0,110.652372721,83.6427384557,27.0096342653
69.0,100.328732221,75.8390416978,24.4896905232
70.0,108.078582801,81.6971964684,26.3813863326
71.0,90.8761666883,68.6937953091,22.1823713792
72.0,80.0389950705,60.5019175487,19.5370775218
73.0,62.2200787166,47.032500459,15.1875782576
74.0,59.9429275058,45.3111893071,14.6317381987
75.0,60.6418030458,45.8394731799,14.8023298659
76.0,61.2438437931,46.2945590993,14.9492846938
77.0,61.5347863376,46.5144841723,15.0203021653
78.0,62.2564465347,47.0599910931,15.1964554416
79.0,63.7878383919,48.217578639,15.5702597529
80.0,63.6309747911,48.0990045785,15.5319702126
81.0,64.6067715481,48.8366147257,15.7701568224
82.0,65.30915242,49.3675482983,15.9416041217
83.0,65.5483913196,49.5483903012,16.0000010184
84.0,65.2285297872,49.3066052058,15.9219245814
85.0,65.1238079978,49.227445428,15.8963625698
86.0,67.7365947344,51.2024653238,16.5341294106
87.0,70.5912493695,53.3603144974,17.2309348721
88.0,72.0494674241,54.4625895625,17.5868778616
89.0,73.0576885009,55.2247094318,17.8329790691
90.0,69.9602896343,52.8833685557,17.0769210786
91.0,69.3486092244,52.4209959623,16.9276132621
92.0,68.3092783274,51.6353600084,16.673918319
93.0,68.1375170661,51.5055247243,16.6319923418
94.0,67.8601576825,51.2958672374,16.5642904451
95.0,67.4233056992,50.9656484153,16.4576572839
96.0,66.4242861186,50.2104840077,16.2138021109
97.0,67.1030060003,50.7235321074,16.3794738929
98.0,66.7231156598,50.4363709051,16.2867447547
99.0,66.9680507237,50.6215186699,16.3465320538
100.0,67.1621584755,50.7682457894,16.3939126861
101.0,67.327785406,50.8934440991,16.4343413069
102.0,67.5985722923,51.0981333991,16.5004388932
103.0,68.1936023759,51.5479199191,16.6456824568
104.0,68.0078197872,51.4074858362,16.600333951
105.0,66.882170093,50.5566010278,16.3255690652
106.0,66.8738449299,50.5503079911,16.3235369388
107.0,66.6179557039,50.3568799147,16.2610757892
108.0,66.6284716995,50.3648290138,16.2636426857
109.0,67.2327032792,50.8215709954,16.4111322838
110.0,83.7625338409,63.3165610294,20.4459728115
111.0,105.800555257,79.9752228914,25.8253323656
112.0,96.5591859695,72.9896209086,23.5695650609
113.0,91.2543043629,68.9796316616,22.2746727013
114.0,88.0197593873,66.5346212858,21.4851381015
115.0,87.6429362121,66.2497785706,21.3931576415
116.0,87.9825152362,66.5064682267,21.4760470095
117.0,85.9332105964,64.9573875537,20.9758230427
118.0,85.4161741468,64.5665568515,20.8496172953
119.0,87.1631439135,65.8871009275,21.276042986
120.0,87.5864127358,66.2070521633,21.3793605725
121.0,92.903563004,70.2263153592,22.6772476448
122.0,91.2586860277,68.9829437862,22.2757422415
123.0,90.9892136408,68.7792481236,22.2099655172
124.0,89.4508111199,67.6163611784,21.8344499415
125.0,92.6389104484,70.0262630336,22.6126474148
126.0,97.7873666207,73.9180094326,23.8693571881
127.0,101.957397037,77.0701584094,24.8872386276
128.0,118.828121122,89.8228317367,29.0052893853
129.0,127.49768315,96.3762014603,31.1214816897
130.0,123.448148516,93.3151359094,30.1330126066
131.0,123.922682817,93.6738390032,30.2488438138
132.0,123.179990629,93.1124338846,30.0675567444
133.0,121.554831144,91.883966872,29.670864272
134.0,131.403937344,99.3289605368,32.0749768072
135.0,123.630425773,93.4529202927,30.1775054803
136.0,118.726466498,89.7459904461,28.9804760519
137.0,117.343613079,88.7006839244,28.6429291546
138.0,117.177109815,88.5748231894,28.6022866256
139.0,124.36829813,94.0106820745,30.3576160555
140.0,121.453614687,91.8074567942,29.6461578928
141.0,115.066900034,86.9797039845,28.0871960495
142.0,124.853348426,94.3773342669,30.4760141591
143.0,118.814537961,89.8125641505,29.0019738105
144.0,112.780109161,85.2511061588,27.5290030022
145.0,99.7617447919,75.4104527749,24.351292017
146.0,93.0858402608,70.3640997423,22.7217405185
147.0,91.3511391556,69.0528296152,22.2983095404
148.0,91.443154117,69.1223842317,22.3207698853
149.0,92.9110118342,70.231945971,22.6790658632
150.0,98.2803039138,74.2906234495,23.9896804643
