hour_ending,total,pumping,process,other
1.0,9495.097983,4747.5489915,2373.77449575,2373.77449575
2.0,9428.42209588,4714.21104794,2357.10552397,2357.10552397
3.0,8341.36237011,4170.68118506,2085.34059253,2085.34059253
4.0,8390.70591401,4195.352957,2097.6764785,2097.6764785
5.0,8174.64442374,4087.32221187,2043.66110594,2043.66110594
6.0,7356.7384865,3678.36924325,1839.18462162,1839.18462162
7.0,7560.22132507,3780.11066253,1890.05533127,1890.05533127
8.0,7446.08756267,3723.04378133,1861.52189067,1861.52189067
9.0,6458.60694757,3229.30347378,1614.65173689,1614.65173689
10.0,6501.34500561,3250.67250281,1625.3362514,1625.3362514
11.0,6562.7590869,3281.37954345,1640.68977172,1640.68977172
12.0,6494.81855976,3247.40927988,1623.70463994,1623.70463994
13.0,6844.38990427,3422.19495214,1711.09747607,1711.09747607
14.0,6956.86382664,3478.43191332,1739.21595666,1739.21595666
15.0,8938.09179983,4469.04589991,2234.52294996,2234.52294996
16.0,9076.50213418,4538.25106709,2269.12553355,2269.12553355
17.0,6231.00561705,3115.50280853,1557.75140426,1557.75140426
18.0,5044.15224347,2522.07612174,1261.03806087,1261.03806087
19.0,5080.4203128,2540.2101564,1270.1050782,1270.1050782
20.0,5279.443037,2639.7215185,1319.86075925,1319.86075925
21.0,7486.98511781,3743.4925589,1871.74627945,1871.74627945
22.0,8498.67455628,4249.33727814,2124.66863907,2124.66863907
23.0,8496.76630481,4248.38315241,2124.1915762,2124.1915762
24.0,8234.02604785,4117.01302393,2058.50651196,2058.50651196
25.0,8355.18307897,4177.59153948,2088.79576974,2088.79576974
26.0,8272.12332865,4136.06166432,2068.03083216,2068.03083216
27.0,7124.83512161,3562.4175608,1781.2087804,1781.2087804
28.0,7067.98277755,3533.99138877,1766.99569439,1766.99569439
29.0,7753.50800343,3876.75400171,1938.37700086,1938.37700086
30.0,7049.45354288,3524.72677144,1762.36338572,1762.36338572
31.0,7097.32920103,3548.66460052,1774.33230026,1774.33230026
32.0,7212.20819774,3606.10409887,1803.05204944,1803.05204944
33.0,7190.98031157,3595.49015578,1797.74507789,1797.74507789
34.0,7252.76701002,3626.38350501,1813.19175251,1813.19175251
35.0,7335.22831462,3667.61415731,1833.80707865,1833.80707865
36.0,6737.36974201,3368.684871,1684.3424355,1684.3424355
37.0,7457.54836291,3728.77418145,1864.38709073,1864.38709073
38.0,7301.27498819,3650.63749409,1825.31874705,1825.31874705
39.0,7394.49702444,3697.24851222,1848.62425611,1848.62425611
40.0,7527.39714152,3763.69857076,1881.84928538,1881.84928538
41.0,5587.49579778,2793.74789889,1396.87394945,1396.87394945
42.0,5200.68532105,2600.34266053,1300.17133026,1300.17133026
43.0,5341.81688974,2670.90844487,1335.45422244,1335.45422244
44.0,5395.48505087,2697.74252544,1348.87126272,1348.87126272
45.0,5499.8291445,2749.91457225,1374.95728613,1374.95728613
46.0,5920.46874194,2960.23437097,1480.11718548,1480.11718548
47.0,5885.52176977,2942.76088488,1471.38044244,1471.38044244
48.0,5822.83175702,2911.41587851,1455.70793925,1455.70793925
49.0,5863.76318646,2931.88159323,1465.94079661,1465.94079661
50.0,6374.04543721,3187.02271861,1593.5113593,1593.5113593
51.0,6218.57375393,3109.28687696,1554.64343848,1554.64343848
52.0,6189.27249617,3094.63624808,1547.31812404,1547.31812404
53.0,6262.57645201,3131.28822601,1565.644113,1565.644113
54.0,6888.50551663,3444.25275831,1722.12637916,1722.12637916
55.0,7999.97731148,3999.98865574,1999.99432787,1999.99432787
56.0,8306.31377508,4153.15688754,2076.57844377,2076.57844377
