hour_ending,hvac,lighting,total,other
1.0,15.0561537681,19.9231025103,68.7431538306,33.7638975521
2.0,14.1578697126,19.0984687102,66.0720373941,32.8156989712
3.0,14.1831484086,18.5624876482,64.2684025567,31.5227664999
4.0,14.7179579983,18.5096685113,64.0762388114,30.8486123019
5.0,15.3137234583,19.1261789305,65.276771909,30.8368695202
6.0,17.0745993288,19.5783470871,67.011529735,30.3585833192
7.0,16.8945869011,20.6970197788,67.5861118695,29.9945051896
8.0,21.811448951,24.0168517609,67.6285519193,21.8002512074
9.0,19.8742593192,25.0147619461,69.5110802923,24.622059027
10.0,19.234883655,26.1760174078,72.1701568632,26.7592558004
11.0,18.3877613064,26.9196828657,74.1910496409,28.8836054687
12.0,17.0201392496,27.354061009,75.5141705375,31.1399702788
13.0,16.6405300132,27.8909493318,76.983929874,32.452450529
14.0,17.3976481847,28.8142475287,79.4645523802,33.2526566668
15.0,18.016704531,29.0047475755,80.0912949956,33.0698428891
16.0,16.6422663817,28.8620100181,80.2120425042,34.7077661044
17.0,16.2687259365,28.4996563176,79.9110483115,35.1426660574
18.0,16.5972382139,24.8224396602,80.6249149546,39.2052370805
19.0,14.4951352546,23.1882989059,79.7335425271,42.0501083667
20.0,14.0217681424,22.2241838711,77.5234805477,41.2775285343
21.0,15.1635250366,21.7946403802,76.0559985819,39.0978331651
22.0,14.9680952067,21.3909951481,74.8017708866,38.4426805319
23.0,14.1011345255,20.6532463078,72.2076107023,37.453229869
24.0,14.0676423061,19.6426664839,68.8303594487,35.1200506587
25.0,17.8485463677,19.8254236778,67.0140160166,29.340045971
26.0,18.1310463958,19.2175947879,65.9613368298,28.6126956461
27.0,17.3835247432,18.4815160793,63.6388744549,27.7738336324
28.0,18.5441021602,18.5617283925,63.7859617954,26.6801312426
29.0,21.9685851867,19.8008460642,65.2033795258,23.4339482749
30.0,21.8802063053,22.8449046588,68.1972859513,23.4721749872
31.0,19.202912838,30.0676146393,73.9594397315,24.6889122542
32.0,19.7511818088,38.1244916764,79.5852242359,21.7095507507
33.0,21.0604816212,44.0268643419,89.3456811857,24.2583352226
34.0,21.8235232542,49.1003400754,98.5564697976,27.632606468
35.0,22.0420295129,50.1739936143,101.378943552,29.1629204244
36.0,22.7034975596,50.482876859,103.07531377,29.8889393513
37.0,22.9959748641,50.6572530405,103.499618548,29.8463906439
38.0,23.4799173909,51.8645022477,105.155736872,29.8113172337
39.0,23.5806877752,52.3509109101,104.904420659,28.9728219733
40.0,24.475690934,52.5452840193,103.909800689,26.8888257352
41.0,25.8589215726,51.0647306856,99.9222473372,22.998595079
42.0,23.3815397409,47.2731571999,96.8079204928,26.1532235521
43.0,19.817620001,40.9223285048,88.3871894528,27.6472409471
44.0,18.3794515931,35.0059470655,81.2101774067,27.8247787481
45.0,20.4488903511,30.9794939605,79.5505083509,28.1221240393
46.0,18.7316851409,27.0728735672,76.357083905,30.5525251969
47.0,18.5094782216,23.6498534203,73.0586841813,30.8993525394
48.0,13.471186261,20.8121826376,69.2172866981,34.9339177995
49.0,13.4807836272,19.3648626538,65.4556567973,32.6100105163
50.0,12.5124744931,18.2265122803,62.5575364082,31.8185496348
51.0,12.668461702,17.7310122203,61.0522934237,30.6528195013
52.0,13.2932304521,18.2422811853,62.6826529859,31.1471413485
53.0,19.1724349267,19.4537317098,64.0452575564,25.4190909199
54.0,19.0269671368,22.67790183,67.7257182833,26.0208493165
55.0,18.0050719549,30.6209010875,75.489432778,26.8634597356
56.0,17.9760758561,37.8001985226,79.0651502831,23.2888759044
57.0,20.4591244654,43.6879689783,88.741140361,24.5940469174
58.0,21.2285995417,48.0011986426,96.4070221183,27.177223934
59.0,21.1906146928,48.2570168258,97.5435112051,28.0958796866
60.0,22.1807214133,49.2885879233,100.625451279,29.1561419422
61.0,22.7466700945,50.1166327363,102.275600966,29.4122981349
62.0,23.2697528396,51.1067604783,103.335682362,28.9591690446
63.0,23.6177068153,51.5733983303,102.882229023,27.6911238776
64.0,24.4392705508,51.5260863051,101.54421831,25.5788614537
65.0,25.3659238943,49.6589039353,97.1139112146,22.089083385
66.0,22.6720684949,45.7924043829,93.9501086526,25.4856357748
67.0,19.3647059807,39.7392744431,86.0607723656,26.9567919418
68.0,18.451118667,34.2041095763,79.5869017458,26.9316735025
69.0,20.0100483376,30.3650796723,78.2444225943,27.8692945844
70.0,18.7687004457,26.819553743,75.7291981009,30.1409439122
71.0,17.9834284561,23.2852498557,71.9347861709,30.6661078592
72.0,13.5309218205,20.8928685138,69.4854131053,35.0616227709
73.0,13.2246565221,19.244259134,65.7215931522,33.2526774961
74.0,12.6318695844,18.3860646864,63.3595873535,32.3416530827
75.0,12.3360290164,17.8781469503,61.7405175407,31.526341574
76.0,12.3033530095,17.8802793076,61.6180893972,31.4344570801
77.0,15.7043955613,18.5388817539,61.1960607576,26.9527834424
78.0,15.5785188898,20.6386491457,61.6800025225,25.462834487
79.0,13.5994200924,26.1839780853,64.2477208175,24.4643226397
80.0,14.8610721207,31.8412405927,66.0473100747,19.3449973613
81.0,14.6228441602,33.8875730798,68.3624763699,19.8520591299
82.0,16.2592995105,36.3844859462,72.5328824836,19.8890970269
83.0,16.4660392375,37.3178923802,74.8786020327,21.094670415
84.0,17.3918462795,38.3197277663,77.6916564789,21.9800824332
85.0,17.4764222661,38.181019588,77.4624960797,21.8050542256
86.0,17.1414512629,37.4364616155,75.3703487257,20.7924358474
87.0,17.3219176244,37.6962514881,75.0860258522,20.0678567398
88.0,18.3035343123,38.2562962779,75.5444766154,18.9846460252
89.0,19.969460435,38.3097995398,75.5558465829,17.2765866081
90.0,18.5498753148,38.0672314078,79.1002568144,22.4831500918
91.0,17.1634920577,35.9988267266,79.7178481646,26.5555293803
92.0,16.8803741469,31.9455715372,76.6510797264,27.8251340423
93.0,18.5602940923,28.6450752774,76.4512426666,29.2458732969
94.0,18.6503118713,25.0057775174,73.7135903676,30.0575009789
95.0,18.1270215135,22.5513610404,72.0317930208,31.353410467
96.0,13.7298151999,20.3620670121,69.0267113109,34.934829099
97.0,12.8157514355,18.851649615,65.0807897762,33.4133887258
98.0,12.4197231278,18.3044637674,63.1906997011,32.466512806
99.0,12.2224034002,18.1063647935,62.5336877685,32.2049195748
100.0,11.9389772411,18.0374403411,61.5984229032,31.622005321
101.0,13.5077137078,18.3182933767,61.2545822849,29.4285752004
102.0,13.5900151577,19.339127241,62.0021201774,29.0729777787
103.0,14.1758491519,22.0067705171,63.6571533831,27.4745337141
104.0,17.0852396117,26.4229845334,63.9009990892,20.3927749441
105.0,16.8138800563,28.1002367343,65.6798174463,20.7657006557
106.0,16.6803428402,29.4881148243,68.8154345576,22.6469768931
107.0,18.7082930525,30.6434104769,73.1128794072,23.7611758778
108.0,20.6390935797,30.5785272535,75.9801219821,24.7625011489
109.0,21.5337170316,29.7285128308,76.3026449477,25.0404150853
110.0,22.7241138146,29.408571224,77.3206112561,25.1879262175
111.0,23.9209163963,29.4364583049,78.0307642294,24.6733895282
112.0,22.6953407058,29.3414065483,78.1775372865,26.1407900323
113.0,22.5267743281,28.5472238365,77.3529284614,26.2789302968
114.0,20.6071507976,25.8587484217,80.8349344238,34.3690352045
115.0,17.7282258165,24.1215612907,81.6710751207,39.8212880135
116.0,17.0178192315,23.1414621868,80.2820595477,40.1227781294
117.0,16.82041363,22.7103684049,78.8334117995,39.3026297645
118.0,15.7453860175,21.4942929432,74.8709349443,37.6312559836
119.0,14.0675334117,20.130640495,70.3855596058,36.1873856991
120.0,13.0135342373,19.2397182763,67.3484361016,35.095183588
121.0,12.6814989027,18.5231785659,64.7816408731,33.5769634045
122.0,12.3503948435,17.8695861857,62.5213886711,32.3014076419
123.0,12.3770558153,17.7521628139,62.1181060458,31.9888874166
124.0,12.6044123309,18.014188709,63.0253600726,32.4067590328
125.0,13.379329623,18.9283012607,65.3687202765,33.0610893929
126.0,14.8846098004,19.827809417,68.8575796907,34.1451604733
127.0,17.0848488621,23.3209985477,76.8221646621,36.4163172523
128.0,24.6878521488,28.8252822122,82.4193914706,28.9062571096
129.0,25.7639837999,32.2734172596,91.1853783859,33.1479773264
130.0,26.1355864202,34.122014097,96.5395971709,36.2819966538
131.0,25.1810667565,35.3569071087,100.027762788,39.4897889226
132.0,25.5260003416,35.3562802565,100.068523584,39.1862429863
133.0,26.0889812216,35.9880492728,101.925567343,39.8485368483
134.0,27.1253227847,36.385038369,103.214872513,39.7045113597
135.0,27.3541393713,36.2030900013,102.902484666,39.3452552936
136.0,26.192461806,36.0341719795,102.707843675,40.48120989
137.0,24.6085075426,35.0008240402,100.185269362,40.575937779
138.0,21.943910043,30.3615118488,99.8102177341,47.5047958423
139.0,17.3372579667,26.3245653559,91.8294867767,48.1676634541
140.0,16.1588328311,24.5064971095,86.4894002485,45.8240703079
141.0,15.9550265488,23.727966858,83.8106999689,44.1277065621
142.0,15.2692779469,22.694140461,80.3362198509,42.372801443
143.0,14.928061453,21.2215109763,75.2140449121,39.0644724828
144.0,14.0130979272,20.2889403068,72.2415264353,37.9394882013
145.0,13.4805288539,20.0541593196,67.7852435565,34.250555383
146.0,14.9896415419,18.8910904443,64.8382229535,30.9574909673
147.0,14.5240541772,18.587985388,64.0027958806,30.8907563155
148.0,14.661077249,18.4436225935,63.3772489845,30.2725491419
149.0,19.4174985185,20.0065694303,65.8786236397,26.4545556909
150.0,19.7341561795,23.380247644,69.7922218613,26.6778180379
151.0,18.2056231918,31.4955816204,77.4683381075,27.7671332953
152.0,19.5655609546,39.6035280883,82.6709323345,23.5018432916
153.0,20.644426831,44.550907545,90.409627625,25.2142932491
154.0,21.2936307461,48.2238159412,96.8179320733,27.300485386
155.0,21.3160659152,48.7787565304,98.5792580233,28.4844355777
156.0,21.6414000964,48.2901330209,98.6199164334,28.6883833161
157.0,21.7385996761,47.8769787218,97.8417283667,28.2261499688
158.0,22.2901462981,49.2559493574,99.8889449218,28.3428492663
159.0,22.7181438403,50.1404777145,100.498449767,27.6398282118
160.0,23.7946565277,50.552997494,100.065366608,25.7177125864
161.0,25.8756638909,50.6622293884,99.2374522772,22.6995589979
162.0,23.6290197909,47.5801746922,97.558338645,26.3491441619
163.0,20.9361467351,43.0711252145,93.1760846721,29.1688127224
164.0,20.4394547672,38.1360750535,88.6480752581,30.0725454374
165.0,21.6455936412,33.0740351069,85.1586593165,30.4390305684
166.0,19.7288982903,28.6548444965,80.8883565271,32.5046137403
167.0,18.3850936243,24.3105876258,75.1003753998,32.4046941498
168.0,13.9747875364,21.4807900876,71.4415120192,35.9859343953
169.0,13.6350114304,20.2607349253,68.4846959078,34.5889495521
170.0,13.6702440331,19.884694909,68.249883171,34.6949442289
171.0,13.2276817737,19.1064889089,65.7902606527,33.4560899701
172.0,13.0519628054,18.9211556809,65.0192076722,33.0460891859
173.0,17.4790150074,20.530968657,67.6067581798,29.5967745154
174.0,17.8624498082,24.0092252057,71.6645311322,29.7928561183
175.0,17.7288334816,32.0749369393,78.7806519209,28.9768815001
176.0,18.7929134668,40.4964984619,84.2975441188,25.0081321901
177.0,20.2073756708,44.8411230974,90.854955311,25.8064565429
178.0,21.161107615,47.6065700184,95.5159333016,26.7482556682
179.0,21.4332061645,48.4763910701,97.9544095119,28.0448122772
180.0,22.1404385737,48.7505887568,99.553824056,28.6627967255
181.0,22.4900714166,49.1305455853,100.402138295,28.7815212931
182.0,23.1277794208,50.4548686441,102.339071348,28.7564232826
183.0,22.9991358502,50.3811219116,101.062157331,27.6818995697
184.0,23.9996970648,50.7356001193,100.627291397,25.8919942127
185.0,25.6963725721,50.3093944948,98.9184451248,22.9126780578
186.0,24.1756447198,48.4571000097,99.5362596294,26.9035149
187.0,20.9407480482,43.0062521968,93.0076943618,29.0606941167
188.0,21.1896991256,38.7477745501,89.9965604962,30.0590868205
189.0,22.5980746067,34.1685658939,87.9099234971,31.1432829965
190.0,20.3179994423,29.2711712979,82.5738397881,32.9846690479
191.0,19.7243855658,25.4695582643,78.655413336,33.4614695059
192.0,14.7427698371,22.8701992986,76.0582178684,38.4452487327
193.0,14.5390013234,21.2676031131,71.8867843941,36.0801799577
194.0,13.6051764739,20.139387416,69.1228261346,35.3782622448
195.0,13.8026220503,19.8158769325,68.230661205,34.6121622223
196.0,13.3810150666,19.7449872446,67.848536424,34.7225341128
197.0,17.7061050223,21.1512587018,69.6472583853,30.7898946611
198.0,18.6183094439,24.7633528632,73.9206945838,30.5390322767
199.0,16.8815387769,33.6923953523,82.8720224785,32.2980883494
200.0,19.9404819174,42.5986610245,88.9209093798,26.3817664379
201.0,21.5496434298,47.6140768636,96.6221432043,27.458422911
202.0,21.8245980564,49.8260884998,100.009941355,28.3592547989
203.0,21.7815062206,50.3995281582,101.830320993,29.6492866145
