hour_ending,total,process,other
1.0,152.74050592,83.7244254446,69.0160804754
2.0,151.128141667,82.8406109654,68.2875307016
3.0,157.536256004,86.3532069714,71.1830490326
4.0,157.060815263,86.0925950098,70.9682202532
5.0,181.328964397,99.395136013,81.933828384
6.0,179.344516086,98.3073643465,81.0371517395
7.0,224.159973771,122.872874478,101.287099293
8.0,211.653815146,116.017646789,95.6361683566
9.0,193.339010945,105.978420786,87.3605901593
10.0,173.267143135,94.9760636187,78.2910795163
11.0,136.017394634,74.5576829644,61.4597116696
12.0,128.32765743,70.3425677574,57.9850896726
13.0,121.981557103,66.8639646162,55.1175924868
14.0,140.730459372,77.141140672,63.5893187
15.0,151.520897062,83.0558991078,68.4649979542
16.0,104.63830572,57.3572934903,47.2810122297
17.0,131.821113311,72.2574991287,59.5636141823
18.0,113.837050494,62.3995684021,51.4374820919
19.0,144.533985301,79.2260363658,65.3079489352
20.0,147.634685787,80.9256795947,66.7090061923
21.0,158.549151496,86.9084237595,71.6407277365
22.0,163.882356332,89.8318101133,74.0505462187
23.0,162.02193604,88.8120241757,73.2099118643
24.0,167.603196914,91.8713819873,75.7318149267
25.0,162.332006089,88.9819884988,73.3500175902
26.0,170.290470668,93.3444061187,76.9460645493
27.0,185.938672452,101.921938946,84.0167335059
28.0,191.003149912,104.698022886,86.3051270256
29.0,202.000300968,110.726090871,91.2742100969
30.0,207.788275207,113.898758231,93.8895169762
31.0,245.038023708,134.317138885,110.720884823
32.0,239.622133526,131.348428712,108.273704814
33.0,303.3105215,166.259100629,137.051420871
34.0,328.260824741,179.935563143,148.325261598
35.0,365.510573241,200.353943796,165.156629445
36.0,363.877537652,199.458798363,164.418739289
37.0,345.107964046,189.170291352,155.937672694
38.0,329.067006867,180.377470382,148.689536485
39.0,343.226872418,188.13917446,155.087697958
40.0,298.328729387,163.528340509,134.800388878
41.0,266.701584434,146.191979576,120.509604858
42.0,195.013389207,106.896228129,88.117161078
43.0,174.486751992,95.644589955,78.842162037
44.0,159.624060998,87.4976334123,72.1264275857
45.0,158.859221545,87.0783880826,71.7808334624
46.0,165.763447959,90.8629270048,74.9005209542
47.0,186.186728491,102.057910405,84.1288180865
48.0,182.383202562,99.9730147107,82.4101878513
49.0,182.837971967,100.222295718,82.6156762492
50.0,181.887090485,99.7010717945,82.1860186905
51.0,178.290277921,97.7294856488,80.5607922722
